"","III ෙක(cid:26)ටස - (cid:1) ලංකා (cid:7)ජාතා(cid:10)(cid:11)ක සමාජවා(cid:15) ජනරජෙ(cid:19) අ(cid:30) (cid:31)ෙශෂ ගැස(cid:22) ප(cid:24)ය - 2019.11.19","5 A"
"","PART  III – GAZETTE EXTRA ORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 19.11.2019",""
"","REGISTRATION  OF  TITLE ACT, No.  21 OF  1998",""
"","Declaration  of  Determination  of  the  Commissioner  of  Title  Settlement  under  Section  14",""
"B","Y virtue of the powers vested in me under Section 14 of the Registration of Title Act, No.21 of 1998, I, the undersigned,",""
"","hereby declare my determination as set out in the Schedule appended hereto in regard to the  title to parcel of Land Nos. 3,",""
"15, 16, 85, 88, 89, 90, 91, 95 and 126 of Block 03, contained in the Cadastral Map No. 530226, situated in the Village of","",""
"Wewala within the Grama Niladhari Division of No. 615 F-Wewala west in the Divisional Secretary's Division of Horana,","",""
"","in the District of Kalutara, in the Province of Western, referred to in Notice No. 53/0210 calling for claims to land parcels",""
"","which was duly published in the Gazette No. 2131/46 of 11th July, 2019 in terms of Section 12 of the Registration of Title",""
"Act, No.21 of 1998.","",""
