"182","Department  of  Surveyor  General","","","",""
"","of  Sri  Lanka","28801 Advances  to  Public  Officers     92,000,000     68,900,000   450,000,000","","","—"
"183","Department  of  Export  Agriculture 28901 Advances  to  Public  Officers     36,000,000","","19,100,000   130,000,000","","—"
"184","Department  of  Fisheries  and","","","",""
"","Aquatic  Resources","29001 Advances  to  Public  Officers     23,000,000     14,400,000   110,000,000","","","—"
"185","Department  of  Coast  Conservation  and","","","",""
"","Coastal  Resource  Management","29101 Advances  to  Public  Officers     11,000,000","5,200,000     48,000,000","","—"
"186","Department  of  Animal  Production","","","",""
"","and  Health","29201 Advances  to  Public  Officers
  32,000,000","16,500,000   120,000,000","","—"
"187","Department  of  Rubber","","","",""
"","Development","29301 Advances  to  Public  Officers     15,000,000     13,000,000","","60,000,000","—"
"188","Department  of  National  Zoological","","","",""
"","Gardens","29401 Advances  to  Public  Officers
  31,000,000","9,600,000   105,000,000","","—"
"189","Department  of  Commerce","29501 Advances  to  Public  Officers
5,600,000","2,700,000","22,000,000","—"
"190","Department  of  Import  and  Export","","","",""
"","Control","29601 Advances  to  Public  Officers
  4,000,000","2,100,000","20,000,000","—"
"191","Department  of  the  Registrar  of","","","",""
"","Companies","29701 Advances  to  Public  Officers
  7,000,000","3,300,000","25,000,000","—"
"192","Department  of  Measurement  Units,","","","",""
"","Standards  and  Services","29801 Advances  to  Public  Officers
6,000,000","3,500,000","33,000,000","—"
"193","National  Intellectual  Property","","","",""
"","Office  of  Sri  Lanka","29901 Advances  to  Public  Officers
    5,000,000","1,800,000","17,000,000","—"
"194","Department  of  Food  Commissioner","30001 Advances  to  Public  Officers
6,000,000","4,200,000","42,000,000","—"
"195","Department  of  Co-operative","","","",""
"","Development  (Registrar  of","","","",""
"","Co-operative  Societies)","30101 Advances  to  Public  Officers
  6,500,000","1,800,000","30,000,000","—"
