"5 2","State  Minister  of  Women  and","","","","",""
"","Child  Development,  Pre-Schools","","","","",""
"","and  Primary  Education,  School","","","","",""
"","Infrastructurs  and  Education","","","","",""
"","Services","40301 Advances  to  Public  Officers","89,600,000","28,000,000","2,580,000,000","—"
"5 3","State  Minister  of  Education","","","","",""
"","Reforms,  Open  Universities  and","","","","",""
"","Distance  Learning  Promotion","40401 Advances  to  Public  Officers","5,200,000","1,500,000   600,000,000","","—"
"5 4","State  Minister  of  Ornamental  Fish,","","","","",""
"","Inland  Fish  and  Prawn  Farming,","","","","",""
"","Fishery  Harbour  Development,","","","","",""
"","Multiday  Fishing  Activities  and","","","","",""
"","Fish  Exports","40501 Advances  to  Public  Officers","3,100,000","950,000","58,000,000","—"
"5 5","State  Minister  of  Solar,  Wing  and","","","","",""
"","Hydro  Power  Generation  Projects","","","","",""
"","Development","40601 Advances  to  Public  Officers","4,700,000","1,200,000","20,000,000","—"
"5 6","State  Minister  of  Backward  Rural","","","","",""
"","Areas Development and Promotion of","","","","",""
"","Domestic  Animal  Husbandry  and","","","","",""
"","Minor  Economic  Crop  Cultivation","40701 Advances  to  Public  Officers","8,200,000","1,500,000","30,000,000","—"
"5 7","State  Minister  of  Rattan,  Brass,","","","","",""
"","Pottery,  Furniture  and  Rural","","","","",""
"","Industrial  Promotion","40801 Advances  to  Public  Officers","75,800,000","23,500,000   295,000,000","","—"
"5 8","State  Minister  of  Internal  Security,","","","","",""
"","Home  Affairs  and  Disaster","","","","",""
"","Management","40901 Advances  to  Public  Officers","52,300,000","16,000,000","3,115,000,000","—"
