"","and exposing food."
"","v.  
Jewelry, watches, pins, pins or other such items should not be worn or transported to food-use sites in the"
"","event of a threat to the safety and appropriateness of food."
"9.","No  person  shall  use  any  premises  intended  to  be  used  as  a  sleeping-place.  There  should  be  no  sleeping  area"
"","adjacent to the food preparation area unless there is sufficient space for inter costal ventilation."
"10.","People dealing with food should have the skills to perform food hygiene."
"11.(1)","The containers or containers for the transportation of food in vehicles shall not be used for the transportation of"
"","goods other than food."
"11.(2)   Where the means of transport or containers are used for the transportation of non-food items or other foodstuffs,",""
"","they must be properly sorted and stored."
"11.(3)","The means of transport or container used for the transportation of other non-food items or other foodstuffs shall"
"","not be used for the transportation of food without proper cleaning."
"","Separate containers should be used for the transportation of cooked food."
"12.","Food items in transport media or containers should be safely stored in a non-combustible manner."
"13.","Transport media or containers used for the transportation of foodstuffs, if required, should be able to maintain"
"","the appropriate temperatures and be able to regulate such temperatures."
"14.","Important health messages relevant to employees and customers should be displayed in the premises."
"15.","When providing accommodation on the premises,"
"15.(1)","Place of sleeping quarters for customers to sleep in is not less than 4 square meters per person. Each bedroom"
"","has  a  wardrobe  or  cabinet,  a  towel  rack,  a  desk  with  toilet  or  toiletries,  and  a  toilet.  There  should  also  be  a"
"","bathroom."
"15.(2)","The number of persons who do not meet the minimum space of 15 (1) above shall not be permitted to sleep in a"
"","particular  bedroom. The  Licensee  shall not  allow  more  than  one  person  in  a  single  room,  more than two in  a"
"","double  room,  or  more  than  three  in  a  triple  room.  However,  a  person  sleeping  in  a  room  should  not  be"
"","considered a person for the purposes of this by-law when he is less than12 years of age."
