"Unit/  Ministry/Department  or","Law  under  which","Expenditure","Recurrent","Capital","Total"
"Head
Institution  by  whom","expenditure  is","Programme","expenditure","expenditure","expenditure"
"No.
expenditure  is  incurred","authorised","","Rs.","Rs.","Rs."
"1
His  Excellency  the  President","Article  36  of  the    Constitution","Programme  01-","2,640,000","—","2,640,000"
"","","Operational","","",""
"","","Activities","","",""
"4
Judges  of  the  Superior  Courts","Article  108  of  the  Constitution","Programme  01-","28,500,000","—","28,500,000"
"","","Operational","","",""
"","","Activities","","",""
"6
Public  Service  Commission","Chapter  IX    of  the  Constitution","Programme  01-","3,660,000","—","3,660,000"
"","","Operational","","",""
"","","Activities","","",""
"7
Judicial  Service  Commission","Chapter    XVA    of  the","Programme  01-","1,500,000","—","1,500,000"
"","Constitution","Operational","","",""
"","","Activities","","",""
"8
National  Police  Commission","Chapter    XVIIIA    of  the","Programme  01-","3,400,000","—","3,400,000"
"","Constitution","Operational","","",""
"","","Activities","","",""
