"","","I","II","III","IV","V","36"
"SRL","Ministries / Departments","Item
Activities of the Government","Maximum","Minimum","Maximum","Maximum",""
"No.","","No.","Limits of","Limits of","Limits of","Limits of",""
"","","","Expenditure","Receipts  to  be","Debit Balance","Liabilities",""
"","","","of Activities","credited  to  the","of Activities","of Activities",""
"","","","of the","Accounts  of","of  the","of the",""
"","","","Government","Activities  of the","Government","Government",""
"","","","","Government","","",""
"","","","Rs.","Rs.","Rs.","Rs.",""
"6 0","Department  of  National","20801 Advances  to  Public  Officers","12,000,000","4,500,000","45,000,000","—",""
"","Museums","","","","","",""
"6 1","Department  of  National","20901 Advances  to  Public  Officers","5,000,000","2,600,000","26,000,000","—",""
"","Archives","","","","","",""
"6 2","Department  of  Information","21001 Advances  to  Public  Officers","8,500,000","6,000,000","40,000,000","—",""
"6 3","Department  of","21101 Advances  to  Public  Officers","50,000,000","38,000,000","275,000,000","—","Appropriation (Amendment) Act, No. 1 of 2015"
"","Government  Printer","","","","","",""
"6 4","Department  of  Examinations","21201 Advances  to  Public  Officers","18,000,000","13,000,000","100,000,000","—",""
"6 5","Department  of  Educational","21301 Advances  to  Public  Officers","5,500,000","4,000,000","33,000,000","—",""
"","Publications","","","","","",""
"6 6","Department  of  Educational","21302    Printing,  Publicity  and","2,500,000,000","2,400,000,000","4,000,000,000","1,900,000,000",""
"","Publications","Sales of Publications","","","","",""
"6 7","Department  of  Technical","21501 Advances  to  Public  Officers","49,000,000","45,000,000","200,000,000","—",""
"","Education  and  Training","","","","","",""
"6 8","Department  of  Social","21601 Advances  to  Public  Officers","13,000,000","11,000,000","75,000,000","—",""
"","Services","","","","","",""
"6 9","Department  of  Probation","21701 Advances  to  Public  Officers","12,500,000","7,200,000","52,500,000","—",""
"","and  Child  Care  Services","","","","","",""
