"","Done Advance Account","","","",""
"168 Department  of  National","31101
Advances  to  Public  Officers","11,000,000","6,200,000","60,000,000","—"
"Physical  Planning","","","","",""
"169 Department  of  Civil  Security","32001 Advances  to  Public  Officers","170,000,000","140,000,000","25,000,000","—"
"170 Department  of  National","32201 Advances  to  Public  Officers","20,000,000","10,000,000","80,000,000","—"
"Botanical  Gardens","","","","",""
"171 Department  of  Legal  Affairs","32301 Advances  to  Public  Officers","1,000,000","200,000","4,000,000","—"
"172 Department  of  Management","32401 Advances  to  Public  Officers","2,200,000","1,250,000","10,000,000","—"
"Audit","","","","",""
"173 Department  of  Community","32601 Advances  to  Public  Officers","8,000,000","3,600,000","40,000,000","—"
"Based  Correction","","","","",""
"174 Department  of  Land  Use","32701 Advances  to  Public  Officers","18,000,000","8,000,000","65,000,000","—"
"Policy  Planning","","","","",""
"175 Department  of  Man  Power","32801 Advances  to  Public  Officers","18,000,000","9,000,000","50,000,000","—"
"&  Employment","","","","",""
"176 Department  of  Information","32901 Advances  to  Public  Officers","1,000,000","200,000","5,000,000","—"
"Technology  Management","","","","",""
