"","","Capital","10,121,980,000","",""
"Head","104","","Minister  of  Policy  Planning,  Economic  Affairs,  Child,  Youth  and  Cultural  Affairs","",""
"","","Programme  01","Operational  Activities","6,620,000,000","121,500,000"
"","","Programme  02","Development  Activities","1,528,000,000","4,012,500,000"
"Head","401","State  Minister  of    Culture","","",""
"","","Programme  01","Operational  Activities","248,000,000","16,460,000"
"","","Programme  02","Development  Activities","564,500,000","2,115,540,000"
"Head","402","State  Minister  of  Youth  Affairs","","",""
"","","Programme  01","Operational  Activities","146,200,000","15,000,000"
"","","Programme  02","Development  Activities","142,255,000","353,280,000"
"Head","403","State  Minister  of  Chilren’s  Affairs","","",""
"","","Programme  01","Operational  Activities","50,000,000","10,000,000"
"","","Programme  02","Development  Activities","981,675,000","130,000,000"
"Head","206","Department  of  Cultural  Affairs","","",""
"","","Programme  01","Operational  Activities","81,940,000","6,750,000"
"","","Programme  02","Development  Activities","356,075,000","289,250,000"
"Head","207","Department  of  Archaeology","","",""
"","","Programme  01","Operational  Activities","133,500,000","12,000,000"
"","","Programme  02","Development  Activities","556,000,000","74,000,000"
"Head","208","Department  of  National  Museums","","",""
"","","Programme  01","Operational  Activities","25,665,000","5,250,000"
"","","Programme  02","Development  Activities","112,981,000","138,400,000"
