"Head","8","National  Police  Commission","","",""
"","","Programme  01
Operational  Activities","42,280,000","1,350,000",""
"Head","9","Administrative  Appeals  Tribunal","","",""
"","","Programme  01
Operational  Activities","17,600,000","1,200,000",""
"Head","1 0","Commission  to  Investigate  Allegations  of  Bribery  or  Corruption","","",""
"","","Programme  01
Operational  Activities","184,400,000","23,600,000",""
"Head","1 1","Office  of    the  Finance  Commission","","",""
"","","Programme  01
Operational  Activities","38,500,000","4,500,000",""
"Head","1 3","Human  Rights  Commission  of  Sri  Lanka","","",""
"","","Programme  01
Operational  Activities","155,200,000","14,300,000",""
"Head","1 6","Parliament","","","Appropriation (Amendment) Act, No. 1 of 2015"
"","","Programme  01
Operational  Activities","1,676,300,000","62,850,000",""
"Head","1 7","Office  of  the  Leader  of  the  House  of  Parliament","","",""
"","","Programme  01
Operational  Activities","27,650,000","2,200,000",""
"Head","1 8","Office  of  the  Chief    Govt.  Whip  of    Parliament","","",""
"","","Programme  01
Operational  Activities","38,450,000","1,850,000",""
"Head","1 9","Office  of  the  Leader  of  the  Opposition  of  Parliament","","",""
"","","Programme  01
Operational  Activities","71,750,000","5,850,000",""
"Head","2 0","Department  of  Elections","","",""
"","","Programme  01
Operational  Activities","3,607,800,000","36,500,000",""
"Head","2 1","Auditor  General","","",""
"","","Programme  01
Operational  Activities","738,800,000","18,300,000","3"
