"","","Ministry  of  Housing  and  Samurdhi","","",""
"","","Recurrent","","26,706,875,000",""
"","","Capital","","30,237,350,000",""
"Made  up  as  follows  :—","","","","",""
"Head","123","Minister  of  Housing  and  Samurdhi","","",""
"","","Programme  01","Operational  Activities","230,900,000","8,900,000"
"","","Programme  02","Development  Activities","874,500,000","28,703,900,000"
"Head","309","Department  of  Buildings","","",""
"","","Programme  01","Operational  Activities","78,050,000","18,800,000"
"","","Programme  02","Development  Activities","176,550,000","33,600,000"
"Head","310","Government  Factory","","",""
"","","Programme  01","Operational  Activities","37,675,000","43,700,000"
"","","Programme  02","Development  Activities","27,300,000","108,500,000"
"Head","331","Department  of  Divineguma  Development","","",""
"","","Programme  01","Operational  Activities","391,860,000","86,950,000"
"","","Programme  02","Development  Activities","24,890,040,000","1,233,000,000"
