"I.
II.","III.","","","","IV."
"H. S. 
H. S. Code","","Description","","","Concessionary"
"Headings","","","","","Rate"
"","","Acyclic  ethers  and  their  halogenated,  sulphonated,  nitrated  or","","",""
"","nitrosated derivatives :","","","",""
"2909.11","Diethyl ether","","","","5.0%"
"2909.19","Other :","","","",""
"2909.19.10","Nitrated derivatives","","","","5.0%"
"2909.20","","Cyclanic, cyclenic or cycloterpenic ethers and their halogenated,","","",""
"","","sulphonated, nitrated or nitrosated derivatives :","","",""
"2909.20.10","Nitrated derivatives","","","","5.0%"
"2909.30","","Aromatic  ethers  and  their  halogenated,  sulphonated,  nitrated  or","","",""
"","nitrosated derivatives :","","","",""
"","Other :","","","",""
"2909.30.91","Tetrabromo diphenyl ether","","","","5.0%"
"2909.30.92","Pentabromo diphenyl ether","","","","5.0%"
"2909.30.93","Hexabromo diphenyl ether","","","","5.0%"
"2909.30.94","Heptabromo diphenyl ether","","","","5.0%"
"","","Ether-alcohols  and  their  halogenated,  sulphonated,  nitrated  or","","",""
"","nitrosated derivatives :","","","",""
"2909.41","","2,2'-Oxydiethanol (diethylene glycol, digol) :","","",""
"2909.41.90","Other","","","","5.0%"
"2909.43","","Monobutyl ethers of ethylene glycol or of diethylene glycol :","","",""
"2909.43.10","Nitrated derivatives","","","","5.0%"
"2909.43.90","Other","","","","5.0%"
"2909.44","","Other monoalkylethers of ethylene glycol or of diethylene glycol :","","",""
"2909.44.90","Other","","","","5.0%"
"2909.49","Other :","","","",""
"2909.49.90","Other","","","","5.0%"
"2909.50","Ether-phenols, 
ether-alcohol-phenols","and","their","halogenated,",""
"","","sulphonated, nitrated or nitrosated derivatives :","","",""
"2909.50.90","Other","","","","5.0%"
"2909.60","","Alcohol  peroxides,  ether  peroxides,  ketone  peroxides  and  their","","",""
"","","halogenated, sulphonated, nitrated or nitrosated derivatives :","","",""
"2909.60.90","Other","","","","5.0%"
"29.10","","Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with","","",""
"","","a  three-membered  ring,  and  their  halogenated,  sulphonated,","","",""
"","nitrated or nitrosated derivatives.","","","",""
"2910.90","Other","","","","5.0%"
