"I.","II.","III.","IV."
"H. S.","H. S. Code","Description","Concessionary"
"Headings","","","Rate"
"","8501.51.90","Other","5.0%"
"","8501.52","Of an output exceeding 750 W but not exceeding 75 kW :",""
"","8501.52.10","Induction  motors  350/450 V    3  phase  exceeding  750 W  but  not","5.0%"
"","","exceeding  25 kW and exceeding 750 RPM",""
"","8501.52.90","Other","5.0%"
"","8501.53","Of an output exceeding 75 kW","5.0%"
"85.02","","Electric generating sets and rotary converters.",""
"","8502.20","Generating  sets  with  spark-ignition  internal  combustion  piston","5.0%"
"","","engines",""
"","","Other generating sets :",""
"","8502.31","Wind-powered","5.0%"
"","8502.39","Other","5.0%"
"85.03","8503.00","Parts suitable for use solely or principally with the machines",""
"","","of heading 85.01 or 85.02 :",""
"","8503.00.10","Wound stators for electric motors of single phase","5.0%"
"","8503.00.20","Parts suitable for use solely or principally with electric generators","5.0%"
"","8503.00.90","Other","5.0%"
"85.04","","Electrical 
transformers, 
static 
converters 
(for 
example,",""
"","","rectifiers) and inductors.",""
"","8504.10","Ballasts for discharge lamps or tubes :",""
"","8504.10.10","Contaminated with or containing Polychlorinated biphenyls (PCB)","5.0%"
"","8504.10.90","Other","5.0%"
"","","Liquid dielectric transformers :",""
"","8504.21","Having a power handling capacity not exceeding 650 kVA :",""
"","8504.21.10","Contaminated with or containing Polychlorinated biphenyls (PCB)","5.0%"
"","8504.21.90","Other","5.0%"
"","8504.22","Having  a  power  handling  capacity  exceeding  650  kVA  but  not",""
"","","exceeding 10,000 kVA :",""
"","8504.22.10","Contaminated  with  or 
containing  Polychlorinated  biphenyls","5.0%"
"","","(PCB), not exceeding 5000 kVA",""
"","8504.22.20","Other, not exceeding 5000 kVA","5.0%"
"","8504.22.30","Other, contaminated with or containing Polychlorinated biphenyls","5.0%"
"","","(PCB)",""
"","8504.23","Having a power handling capacity exceeding 10,000 kVA :",""
"","8504.23.90","Other","5.0%"
"","","Other transformers :",""
