"II.","III.","","IV."
"H. S. Code","Description","","Concessionary"
"","","","Rate"
"2903.77.73","Pentachloro-trifluoro-propane","","5.0%"
"2903.77.74","Hexachloro-fluoro-propane","","5.0%"
"2903.77.75","Hexachloro-difluoro-propane","","5.0%"
"2903.77.76","Heptachloro-fluoro-propane","","5.0%"
"2903.77.80","Other 
hydrocarbons  with  more 
than 
three 
carbon","atoms,","5.0%"
"","perhalogenated only with chlorine and one or more fluorine atoms","",""
"2903.78","Other perhalogenated derivatives :","",""
"","Methane perhalogenated with bromine and chlorine only :","",""
"2903.78.11","Bromo-chloro-methane","","5.0%"
"2903.78.12","Bromo-dichloro -methane","","5.0%"
"2903.78.13","Bromo-trichloro -methane","","5.0%"
"2903.78.14","Dibromo-chloro-methane","","5.0%"
"2903.78.15","Dibromo-dichloro-methane","","5.0%"
"2903.78.16","Tribromo-chloro-methane","","5.0%"
"","Ethane perhalogenated with one bromine atom and one or more","",""
"","chlorine atoms :","",""
"2903.78.21","Bromo-chloro-ethane","","5.0%"
"2903.78.22","Bromo-dichloro-ethane","","5.0%"
"2903.78.23","Bromo-trichloro-ethane","","5.0%"
"2903.78.24","Bromo-tetrachloro-ethane","","5.0%"
"2903.78.25","Bromo-pentachloro-ethane","","5.0%"
"","Ethane 
perhalogenated  with 
two 
or  more 
bromine","atoms",""
"","respectively, and one or more chlorine atoms :","",""
"2903.78.31","Dibromo-chloro-ethane","","5.0%"
"2903.78.32","Dibromo-dichloro-ethane","","5.0%"
"2903.78.33","Dibromo-trichloro-ethane","","5.0%"
"2903.78.34","Dibromo-tetrachloro-ethane","","5.0%"
"2903.78.35","Tribromo-chloro-ethane","","5.0%"
"2903.78.36","Tribromo-dichloro-ethane","","5.0%"
"2903.78.37","Tribromo-trichloro-ethane","","5.0%"
"2903.78.38","Tetrabromo-chloro-ethane and Tetrabromo-dichloro-ethane","","5.0%"
"2903.78.39","Pentabromo-chloro-ethane","","5.0%"
"","Propane perhalogenated with one bromine atom and one or more","",""
"","chlorine atoms :","",""
"2903.78.41","Bromo-chloro-propane","","5.0%"
"2903.78.42","Bromo-dichloro-propane","","5.0%"
"2903.78.43","Bromo-trichloro-propane","","5.0%"
"2903.78.44","Bromo-tetrachloro-propane","","5.0%"
"2903.78.45","Bromo-pentachloro-propane","","5.0%"
