"II.","III.","","","IV."
"H. S. Code","Description","","","Concessionary"
"","","","","Rate"
"2903.77.26","Dichloro-tetrafluoro-ethane","","","5.0%"
"","Ethane  perhalogenated  with","three  or  more 
chlorine","atoms",""
"","respectively, and one or more fluorine atoms :","","",""
"2903.77.31","Trichloro-fluoro-ethane","","","5.0%"
"2903.77.32","Trichloro-difluoro-ethane","","","5.0%"
"2903.77.33","Trichloro-trifluoro-ethane","","","5.0%"
"2903.77.34","Tetrachloro-fluoro-ethane","","","5.0%"
"2903.77.35","Tetrachloro-difluoro-ethane","","","5.0%"
"2903.77.36","Pentachloro-fluoro-ethane","","","5.0%"
"","","Propane perhalogenated only with one chlorine atom and one or","",""
"","more fluorine atoms :","","",""
"2903.77.41","Chloro-fluoro-propane","","","5.0%"
"2903.77.42","Chloro-difluoro-propane","","","5.0%"
"2903.77.43","Chloro-triafluoro-propane","","","5.0%"
"2903.77.44","Chloro-tetrafluoro-propane","","","5.0%"
"2903.77.45","Chloro-pentafluoro-propane","","","5.0%"
"2903.77.46","Chloro-hexafluoro-propane","","","5.0%"
"2903.77.47","Chloro-heptafluoro-propane","","","5.0%"
"","","Propane perhalogenated only with two chlorine atoms and one or","",""
"","more fluorine atoms :","","",""
"2903.77.51","Dichloro-fluoro-propane","","","5.0%"
"2903.77.52","Dichloro-difluoro-propane","","","5.0%"
"2903.77.53","Dichloro-trifluoro-propane","","","5.0%"
"2903.77.54","Dichloro-tetrafluoro-propane","","","5.0%"
"2903.77.55","Dichloro-pentafluoro-propane","","","5.0%"
"","","Propane  perhalogenated  only  with  three  or  four  chlorine  atoms","",""
"","respectively, and one or more fluorine atoms :","","",""
"2903.77.61","Trichloro-fluoro-propane","","","5.0%"
"2903.77.62","Trichloro-difluoro-propane","","","5.0%"
"2903.77.63","Trichloro-trifluoro-propane","","","5.0%"
"2903.77.64","Trichloro-tetrafluoro-propane","","","5.0%"
"2903.77.65","Trichloro-pentafluoro-propane","","","5.0%"
"2903.77.66","Tetrachloro-fluoro-propane","","","5.0%"
"2903.77.67","Tetrachloro-difluoro-propane","","","5.0%"
"2903.77.68","Tetrachloro-trifluoro-propane","","","5.0%"
"2903.77.69","Tetrachloro-tetrafluoro-propane","","","5.0%"
"","","Propane  perhalogenated  only  with  ﬁve  or  more  chlorine  atoms","",""
"","respectively, and one or more fluorine atoms :","","",""
"2903.77.71","Pentachloro-fluoro-propane","","","5.0%"
"2903.77.72","Pentachloro-difluoro-propane","","","5.0%"
