"II.","III.","","","","IV."
"H. S. Code","Description","","","","Concessionary"
"","","","","","Rate"
"2903.78.46","Bromo-hexachloro-propane","","","","5.0%"
"2903.78.47","Bromo-heptachloro-propane","","","","5.0%"
"","","Propane perhalogenated with two bromine atoms and one or more","","",""
"","chlorine atoms :","","","",""
"2903.78.51","Dibromo-chloro-propane (DBCP)","","","","5.0%"
"2903.78.52","Dibromo-dichloro-propane","","","","5.0%"
"2903.78.53","Dibromo-trichloro-propane","","","","5.0%"
"2903.78.54","Dibromo-tetrachloro-propane","","","","5.0%"
"2903.78.55","Dibromo-pentachloro-propane","","","","5.0%"
"2903.78.56","Dibromo-hexachloro-propane","","","","5.0%"
"","Propane  perhalogenated  with 
three  or","four  bromine","","atoms",""
"","respectively, and one or more chlorine atoms :","","","",""
"2903.78.61","Tribromo-chloro-propane","","","","5.0%"
"2903.78.62","Tribromo-dichloro-propane","","","","5.0%"
"2903.78.63","Tribromo-trichloro-propane","","","","5.0%"
"2903.78.64","Tribromo-tetrachloro-propane","","","","5.0%"
"2903.78.65","Tribromo-pentachloro-propane","","","","5.0%"
"2903.78.66","Ttetrabromo-chloro-propane","","","","5.0%"
"2903.78.67","Tetrabromo-dichloro-propane","","","","5.0%"
"2903.78.68","Tetrabromo-trichloro-propane","","","","5.0%"
"2903.78.69","Tetrabromo-tetrachloro-propane","","","","5.0%"
"","","Propane  perhalogenated  with  ﬁve  or  more  bromine","","atoms",""
"","respectively, 
and 
one 
or  more","chlorine 
atoms:","and","other",""
"","","hydrocarbons containing four or more carbon atoms respectively,","","",""
"","perhalogenated only with bromine and chlorine :","","","",""
"2903.78.71","Pentabromo-chloro-propane","","","","5.0%"
"2903.78.72","Pentabromo-dichloro-propane","","","","5.0%"
"2903.78.73","Pentabromo-trichloro-propane","","","","5.0%"
"2903.78.74","Hexabromo-chloro-propane","","","","5.0%"
"2903.78.75","Hexabromo-dichloro-propane","","","","5.0%"
"2903.78.76","Heptabromo-chloro-propane","","","","5.0%"
"2903.78.77","Other  hydrocarbons  containing","four  or  more  carbon  atoms","","","5.0%"
"","","respectively, perhalogenated only with bromine and chlorine","","",""
"","","Other  hydrocarbons  perhalogenated  only  with  bromine  and","","",""
"","fluorine :","","","",""
