"I.","II.","III.","IV."
"H. S.","H. S. Code","Description","Exempt"
"Headings","","",""
"28.43","","Colloidal precious metals; inorganic or organic compounds of",""
".","","precious metals, whether or not chemically defined; amalgams",""
"","","of precious metals.",""
"","2843.10","Colloidal precious metals","Exempt"
"","","Silver compounds :",""
"","2843.29","Other","Exempt"
"","2843.30","Gold compounds","Exempt"
"28.45","","Isotopes  other 
than 
those  of  heading  28.44; 
compounds,",""
"","","inorganicor organic, of such isotopes, whether or not chemically",""
"","","defined.",""
"","2845.10","Heavy water (deuterium oxide)","Exempt"
"28.46","","Compounds, 
inorganic  or  organic,  of  rare-earth  metals,  of",""
"","","yttrium or of scandium or of mixtures of these metals.",""
"","2846.10","Cerium compounds","Exempt"
"28.49","","Carbides, whether or not chemically defined.",""
"","2849.90","Other","Exempt"
"28.50","2850.00","Hydrides,  nitrides, 
azides, 
silicides 
and  borides,  whether","Exempt"
"","","ornot  chemically  defined,  other  than  compounds  which  are",""
"","","alsocarbides of heading 28.49.",""
"28.52","","Inorganic  or  organic  compounds  of  mercury,  whether  or",""
"","","notchemically defined, excluding amalgams.",""
"","2852.10","Chemically deﬁned","Exempt"
"","2852.90","Other","Exempt"
"28.53","","Phosphides,  whether  or  not  chemically  defined,  excluding",""
"","","ferrophosphorus; 
other 
inorganic 
compounds 
(including",""
"","","distilled  or  conductivity  water  and  water  of  similar  purity);",""
"","","liquid  air  (whether  or  not  rare  gases  have  been  removed);",""
"","","compressed  air;amalgams,  other  than  amalgams  of  precious",""
"","","metals.",""
"","2853.10","Cyanogen chloride (Chlorcyan)","Exempt"
