"I.
II.","III.","","","IV."
"H. S. 
H. S. Code","Description","","","Exempt"
"Headings","","","",""
"2853.90","Other","","","Exempt"
"29.01","Acyclic hydrocarbons.","","",""
"","Unsaturated :","","",""
"2901.22","Propene (propylene)","","","Exempt"
"2901.23","Butene (butylene) and isomers thereof","","","Exempt"
"2901.24","Buta-1, 3-diene and isoprene","","","Exempt"
"2901.29","Other","","","Exempt"
"29.02","Cyclic hydrocarbons.","","",""
"","Cyclanes, cyclenes and cycloterpenes :","","",""
"2902.11","Cyclohexane","","","Exempt"
"2902.20","Benzene","","","Exempt"
"","Xylenes :","","",""
"2902.42","m-Xylene","","","Exempt"
"2902.43","p-Xylene","","","Exempt"
"2902.60","Ethylbenzene","","","Exempt"
"29.03","Halogenated derivatives of hydrocarbons.","","",""
"","Saturated chlorinated derivatives of acyclic hydrocarbons :","","",""
"2903.13","Chloroform (trichloromethane)","","","Exempt"
"2903.19","Other :","","",""
"2903.19.10","1,1,1-Trichloroethane (methyl chloroform)","","","Exempt"
"","Unsaturated chlorinated derivatives of acyclic hydrocarbons :","","",""
"2903.22","Trichloroethylene","","","Exempt"
"2903.29","Other :","","",""
"2903.29.10","Dichloropropene","","","Exempt"
"","Halogenated 
derivatives 
of 
cyclanic,","cyclenic","or",""
"","cycloterpenichydrocarbons :","","",""
"2903.82","Aldrin (ISO), chlordane (ISO) and heptachlor (ISO)","","","Exempt"
"","Halogenated derivatives of aromatic hydrocarbons:","","",""
"2903.99","Other :","","",""
"2903.99.90","Other","","","Exempt"
