"","waste oils :",""
"2710.12","Light oils and preparations :",""
"","Petrol :",""
"2710.12.21","Petrol having Octane number of 92","7.5%"
"2710.12.22","Petrol having Octane number of 95","7.5%"
"2710.12.29","Other","7.5%"
"2710.12.30","Motor spirit other than petrol","7.5%"
"2710.12.40","Spirit type jet fuel","7.5%"
"2710.12.90","Other","7.5%"
"2710.19","Other :",""
"2710.19.30","Other medium oils and preparations","7.5%"
"","Gas oil / Diesel :",""
"2710.19.41","Super Diesel that contains sulphur not exceeding 10 mg/kg (ppm)","7.5%"
"2710.19.42","Other Diesel that contains sulphur exceeding 10 mg/kg (ppm) but not","7.5%"
"","exceeding 500mg/ kg (ppm)",""
"2710.19.49","Other","7.5%"
