"239","Department  of  External","Bretton  Woods","Programme  01-","80,000,000","521,000,000","601,000,000"
"","Resources","Agreement  (Special  Provisions)","Operational","","",""
"","","Law  No.  10  of  1978,","Activities","","",""
"","","Asian  Development  Bank","","","",""
"","","Agreement  (Ratification)  Act,","","","",""
"","","No.  21  of  1966","","","",""
"249","Department  of  Treasury","Foreign  Loans  Act","","Programme  01-        421,000,000,000    551,600,000,000    972,600,000,000","",""
"","Operations","No.  29  of  1957","Operational","","",""
"","","(Section  2  Paragraphs  (a)","Activities","","",""
"","","and  (c)),  Local  Treasury  Bills","","","",""
"","","Ordinance  (Chapter  417)","","","",""
"253","Department  of  Pensions","Widows’  and  Orphans’  Pension","Programme  01-","27,500,000,000","","—        27,500,000,000"
"","","Fund  Ordinance  (Chapter  431),","Operational","","",""
"","","Widowers’  and","Activities","","",""
"","","Orphans’  Pensions  Act,","","","",""
"","","No.  24  of  1983,","","","",""
"","","Widows’  and  Orphans’","","","",""
"","","Pension  Scheme(Armed  Forces)","","","",""
"","","Act,  No.  18  of  1970,  School","","","",""
"","","Teachers’  Pensions  Act,","","","",""
"","","(Chapter  432)","","","",""
