"","","Recurrent","114,191,497,000","",""
"","","Capital","39,252,200,000","",""
"Made  up  as  follows  :—","","","","",""
"Head","130","Minister  of  Local  Government  and  Provincial  Councils","","",""
"","","Programme  01","Operational  Activities","197,497,000","73,400,000"
"","","Programme  02","Development  Activities","1,400,000,000","6,708,800,000"
"Head","312","Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","9,110,000,000","—"
"","","Programme  02","Development  Activities","—","2,755,000,000"
"Head","313","Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","15,765,000,000","—"
"","","Programme  02","Development  Activities","—","3,927,000,000"
"Head","314","Southern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","13,945,000,000","—"
"","","Programme  02","Development  Activities","—","2,095,000,000"
"Head","315","Northern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","11,622,000,000","—"
"","","Programme  02","Development  Activities","—","5,831,000,000"
"Head","316","North  Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","15,160,000,000","—"
"","","Programme  02","Development  Activities","—","2,470,000,000"
"Head","317","North  Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","9,095,000,000","—"
"","","Programme  02","Development  Activities","—","3,393,000,000"
"Head","318","Uva  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","11,115,000,000","—"
"","","Programme  02","Development  Activities","—","3,873,000,000"
