"Head","","","","Recurrent","Capital","36"
"No.","","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"","Ministry    of  Education  Services","","","","",""
"","","Recurrent","7,426,240,000","","",""
"","","Capital","258,410,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head","189","Minister  of  Education  Services","","","",""
"","","Programme  01
Operational  Activities","","56,240,000","65,300,000",""
"","","Programme  02
Development  Activities","","7,370,000,000","193,110,000",""
"","","Ministry  of  Law  and  Order","","","",""
"","","Recurrent","47,748,300,000","","",""
"","","Capital","6,565,268,715","","","Appropriation Act, No. 36 of 2013"
"Made  up  as  follows  :—","","","","","",""
"Head","190","Minister  of  Law  and  Order","","","",""
"","","Programme  01
Operational  Activities","","5,711,000,000","431,500,000",""
"Head","225","Department  of  Police","","","",""
"","","Programme  01
Operational  Activities","","42,037,300,000","6,133,768,715",""
"","","","","899,772,038,000","698,480,480,000",""
