"","mqkrdj¾;k","20,086,731,000"
"","u
,Ok","5,499,335,000"
"","my;  mßÈ  úhoï  ieliS  we; :—",""
"YS¾I 1","w;s.re  ckdêm;s",""
"","jevigyk  01  fufyhqï  jevigyk","2,086,830,000                     403,200,000"
"","jevigyk  02  ixj¾Ok  jevigyk","423,580,000               4,504,710,000"
"YS¾I  2","w.%dud;H ld¾hd,h",""
"","jevigyk  01  fufyhqï  jevigyk","872,670,000             110,425,000"
"YS¾I 4","WmßudêlrKj,  úksYaphldrjre",""
"","jevigyk  01  fufyhqï  jevigyk","174,160,000             18,910,000"
"YS¾I 5","wud;H uKav, ld¾hd,h",""
"","jevigyk  01  fufyhqï  jevigyk","148,420,000             16,900,000"
"YS¾I  6","rdcH fiajd fldñIka iNd ld¾hd,h",""
"","jevigyk  01  fufyhqï  jevigyk","222,020,000             11,700,000"
