"","ශීර්ෂ","වියදම් දරණ ඒකකය/","වියදම් සඳහාා බලය","වියදම්","පුනරාවර්තන","මූලධන වියදමා","මුළු වියදමා"
"","අංංකය","අංමාාත�ාංශය/","දෙදන ලද ආණ්ඩුක්‍රමා","වැඩසටහාන","වියදමා","රු.","රු."
"","","දෙදපාාර්තදෙම්න්තුව /","ව�වස්ථාාදෙේ සහා නීතිදෙ�","","රු.","",""
"","","ආයතනය","ප්‍රතිපාාදනය","","","",""
"","1","අංතිගරු ජනාධිපාති","ආණ්ඩුක්‍රමා ව�වස්ථාාදෙේ","වැඩසටහාන 01","7,020,000","-","7,020,000"
"","","","36 වන ව�වස්ථාාව","දෙමාදෙහායුම්","","",""
"","","","","වැඩසටහාන","","",""
"","4","උපාරිමාාධිකරණවල","ආණ්ඩුක්‍රමා ව�වස්ථාාදෙේ","වැඩසටහාන 01","132,000,000","-","132,000,000"
"5","","විනිශ්චයකාරවරු","108 වන ව�වස්ථාාව","දෙමාදෙහායුම්","","",""
"","","","","වැඩසටහාන","","",""
"","6","රාජ� දෙසේවා දෙකොමිෂන්","ආණ්ඩුක්‍රමා ව�වස්ථාාදෙේ","වැඩසටහාන 01","10,260,000","-","10,260,000"
"","","සභාා කාර්යාලය","IX වන පාරිච්දෙේදය","දෙමාදෙහායුම්","","",""
"","","","","වැඩසටහාන","","",""
"10","7","අංධිකරණ දෙසේවා දෙකොමිෂන්","ආණ්ඩුක්‍රමා ව�වස්ථාාදෙේ","වැඩසටහාන 01","3,850,000","-","3,850,000"
"","","සභාාව","XVඅං වන පාරිච්දෙේදය","දෙමාදෙහායුම්","","",""
"","","","","වැඩසටහාන","","",""
"","8","ජාතික දෙපාොලිස් දෙකොමිෂන්","ආණ්ඩුක්‍රමා ව�වස්ථාාදෙේ","වැඩසටහාන 01","8,100,000","-","8,100,000"
"","","සභාාව","XVIIIඅං වන පාරිච්දෙේදය","දෙමාදෙහායුම්","","",""
"15","","","","වැඩසටහාන","","",""
"","10","අංල්ලස් දෙහාෝ දූෂණ දෙචෝදනා","2023 අංංක 9 දරන දූෂණ","වැඩසටහාන 01","21,600,000","-","21,600,000"
"","","විමාර්ෂන දෙකොමිෂන් සභාාව","විදෙරෝධී පානත","දෙමාදෙහායුම්","","",""
"","","","","වැඩසටහාන","","",""
"","16","පාාර්ලිදෙම්න්තුව","ආණ්ඩුක්‍රමා ව�වස්ථාාදෙේ","වැඩසටහාන 01","2,600,000","-","2,600,000"
"20","","","65 වන ව�වස්ථාාව","දෙමාදෙහායුම්","","",""
"","","","","වැඩසටහාන","","",""
