"தலைப்பு","","","ம
ீ","ண்டுவரும்","மூைதன"
"இை.இை.","","","","செைவினம்","செைவினம்"
"","","","","ரூபாரூபா","ரூபாரூபா"
"தலைப்பு  
221","சதாழில் திலைக்்கைம்","","","",""
"","நி்கழ்்சசித்திட்்டம் 01","சசயல்முலை்ச சசயற்பாடு்கள்","2,601,000,000","","624,000,000"
"","நி்கழ்்சசித்திட்்டம் 02","அபிவிருத்தி்ச சசயற்பாடு்கள்","1,504,000,000","","436,000,000"
"தலைப்பு  
328","ேனிதவலு ேற்றும் சதாழில்துலை திலைக்்கைம்","","","",""
"5","நி்கழ்்சசித்திட்்டம் 01","சசயல்முலை்ச சசயற்பாடு்கள்","729,000,000","","8,000,000"
"","நி்கழ்்சசித்திட்்டம் 02","அபிவிருத்தி்ச சசயற்பாடு்கள்","","-","35,000,000"
"","இலைஞர் அலுவல்்கள் ேற்றும் விலையாட்டுத்துலை அலே்சசு","","","",""
"","ேகீண்டுவரும் சசைவினம்","7,500,000,000","","",""
"","மூைதன சசைவினம்","6,000,000,000","","",""
