"I","II"
"Electoral  District","Assistant  Registering  Officer"
"No. 03 - Kalutara","J. A. S. P. Jayasinghe,"
"","Deputy Commissioner of Elections (Admin.)"
"","Elections  Secrtariat,"
"","Rajagiriya."
"No. 07- Galle","L. W. M. Gamage,"
"","Additional District Secretary (Land and Development),"
"","District  Secretariat,"
"","Galle."
"No. 08 - Matara","W. H. R. Vijayakumara,"
"","Deputy  Commissioner  of  Elections,"
"","Elections  Secretariat,"
"","Rajagiriya."
"No. 11- Vanni","T. Sakthiraj,"
"","Administrative  Officer,"
"","District  Election  Office,"
"","Vavuniya."
"No. 18 - Polonnaruwa","Sreen Yapa Boralessa,"
"","Assistant  Commissioner  of  Elections,"
"","(Parilamentary  Elections),"
"","Elections  Secretariat,"
"","Rajagiriya."
