"3 9 Minister  of  Mass  Media  and","12201","Advances  to  Public  Officers","10,000,000","4,000,000","30,000,000","—"
"Information","","","","","",""
"4 0 Minister  of  Construction,","12301","Advances  to  Public  Officers","26,000,000","7,400,000","155,000,000","—"
"Engineering  Services,","","","","","",""
"Housing  and  Common","","","","","",""
"Amenities","","","","","",""
"4 1 Minister  of  Social  Services","12401","Advances  to  Public  Officers","14,100,000","3,300,000","40,000,000","—"
"4 2 Minister  of  Education","12601","Advances  to  Public  Officers","900,000,000","650,000,000 2,700,000,000","","—"
"4 3 Minister  of  Labour  Relations 12701","","Advances  to  Public  Officers","33,000,000","9,200,000","85,000,000","—"
"and  Productivity","","","","","",""
"Improvement","","","","","",""
"4 4 Minister  of  Traditional","12801","Advances  to  Public  Officers","8,000,000","1,900,000","25,000,000","—"
"Industries  and  Small","","","","","",""
"Enterprises  Development","","","","","",""
"4 5 Minister  of  Local","13001","Advances  to  Public  Officers","10,000,000","4,000,000","35,000,000","—"
"Government  and  Provincial","","","","","",""
"Councils","","","","","",""
"4 6 Minister  of  Technology","13301","Advances  to  Public  Officers","31,000,000","12,500,000","62,000,000","—"
"and  Research","","","","","",""
"4 7 Minister  of  National","13401","Advances  to  Public  Officers","11,000,000","3,400,000","50,000,000","—"
"Languages  and","","","","","",""
"Social  Integration","","","","","",""
"4 8 Minister  of  Plantation","13501","Advances  to  Public  Officers","8,800,000","3,300,000","32,000,000","—"
"Industries","","","","","",""
"4 9 Minister  of  Sports","13601","Advances  to  Public  Officers","7,000,000","2,400,000","20,000,000","—"
"5 0 Minister  of  Indigenous","13801","Advances  to  Public  Officers","14,000,000","3,300,000","36,000,000","—"
"Medicine","","","","","",""
