"Head","","","","Recurrent","Capital"
"No.","","","","Expenditure","Expenditure"
"","","","","Rs.","Rs."
"","","Ministry  of  Indigenous  Medicine","","",""
"","","Recurrent","773,250,000","",""
"","","Capital","300,000,000","",""
"Made  up  as  follows  :—","","","","",""
"Head","138","Minister  of  Indigenous  Medicine","","",""
"","","Programme  01
Operational  Activities","","169,150,000","64,990,000"
"","","Programme  02
Development  Activities","","—","80,010,000"
"Head","220","Department  of  Ayurveda","","",""
"","","Programme  01
Operational  Activities","","185,438,000","9,700,000"
"","","Programme  02
Development  Activities","","418,662,000","145,300,000"
"","","Ministry  of  Fisheries  and  Aquatic  Resources  Development","","",""
"","","Recurrent","747,105,000","",""
