"","","Ministry  of  Social  Services","","","",""
"","","Recurrent","","545,811,000","",""
"","","Capital","","116,807,000","",""
"Made  up  as  follows  :—","","","","","",""
"Head","124","Minister  of  Social  Services","","","",""
"","","Programme  01","Operational  Activities","138,273,000","11,690,000",""
"","","Programme  02","Development  Activities","134,790,000","72,612,000",""
"Head","216","Department  of  Social  Services","","","",""
"","","Programme  01","Operational  Activities","73,285,000","15,525,000",""
"","","Programme  02","Development  Activities","199,463,000","16,980,000",""
"","","Ministry  of  Education","","","","Appropriation Act, No. 7 of 2010"
"","","Recurrent","23,453,170,000","","",""
"","","Capital","4,054,640,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head","126","Minister  of  Education","","","",""
"","","Programme  01","Operational  Activities","393,210,000","66,750,000",""
"","","Programme  02","Development  Activities","21,776,500,000","3,742,090,000",""
"Head","212","Department    of  Examinations","","","",""
"","","Programme  02","Development  Activities","1,262,730,000","162,750,000",""
"Head","213","Department  of  Educational  Publications","","","",""
"","","Programme  02","Development  Activities","20,730,000","83,050,000","25"
