"8 5","Department  of  Ayurveda","22001","Advances  to  Public  Officers","60,000,000","17,200,000","171,000,000","—"
"8 6","Department  of  Labour","22101","Advances  to  Public  Officers","98,000,000","45,000,000","245,000,000","—"
"8 7","Sri  Lanka  Army","22201","Advances  to  Public  Officers","2,460,000,000 1,000,000,000","","4,950,000,000","—"
"8 8","Sri  Lanka  Navy","22301","Advances  to  Public  Officers","754,000,000","202,000,000","1,000,000,000","—"
"8 9","Sri  Lanka  Navy","22302","Stores  Advance  Account","446,000,000","420,000,000","330,000,000","—"
"","","","(Explosive  items)","","","",""
"9 0","Sri  Lanka  Air  Force","22401","Advances  to  Public  Officers","650,000,000","360,000,000","1,550,000,000","—"
"9 1","Department  of  Police","22501","Advances  to  Public  Officers","2,100,000,000 1,000,000,000","","3,600,000,000","—"
"9 2","Department  of  Immigration","22601","Advances  to  Public  Officers","30,000,000","18,700,000","142,000,000","—"
"","and  Emigration","","","","","",""
"9 3","Department  of  Registration","22701","Advances  to  Public  Officers","27,000,000","14,000,000","72,000,000","—"
"","of  Persons","","","","","",""
"9 4","Courts  Administration","22801","Advances  to  Public  Officers","180,000,000","160,000,000","650,000,000","—"
"9 5","Department  of Attorney","22901","Advances  to  Public  Officers","24,000,000","9,600,000","79,000,000","—"
"","General","","","","","",""
"9 6","Department  of  Legal","23001","Advances  to  Public  Officers","6,000,000","2,000,000","23,000,000","—"
"","Draftsman","","","","","",""
"9 7","Department  of  Debt","23101","Advances  to  Public  Officers","1,000,000","270,000","12,000,000","—"
"","Conciliation  Board","","","","","",""
"9 8","Department  of  Prisons","23201","Advances  to  Public  Officers","155,000,000","95,000,000","400,000,000","—"
"9 9","Department  of  Prisons","23202","Prisons  Industrial  and","153,000,000","175,000,000","35,000,000","15,000,000"
"","","","Agricultural  undertakings","","","",""
"100","Department  of  Government","23301","Advances  to  Public  Officers","10,000,000","3,400,000","34,000,000","—"
"","Analyst","","","","","",""
"101","Registrar  of  Supreme  Court","23401","Advances  to  Public  Officers","14,000,000","3,600,000","46,000,000","—"
"102","Department  of  Law","23501","Advances  to  Public  Officers","1,500,000","430,000","6,000,000","—"
"","Commission","","","","","",""
"103","Department  of  Official","23601","Advances  to  Public  Officers","10,000,000","3,200,000","30,000,000","—"
"","Languages","","","","","",""
