"Spending  Unit  under  which","","","","",""
"Head
provision  included  in  printed","Base  Legislation","Expenditure Programme","Recurrent","Capital","Total"
"No.
estimates","","","Rs.","Rs.","Rs."
"1
His Excellency the President","Article  36  of  the  Constitution","Programme 01-","1,470,000","—","1,470,000"
"","","Operational  Activities","","",""
"3
Judges of the Superior Courts","Article  108  of  the  Constitution","Programme 01-","27,000,000","—","27,000,000"
"","","Operational  Activities","","",""
"5
Parliament","Article  65  of  the  Constitution","Programme 01-","970,000","—","970,000"
"","","Operational  Activities","","",""
"11
The  Constitutional  Council","Article  41  of  the  Constitution","Programme 01-","6,720,000","—","6,720,000"
"","","Operational  Activities","","",""
"12
Public  Service  Commission","Article  54  of  the  Constitution","Programme 01-","3,660,000","—","3,660,000"
"","","Operational  Activities","","",""
"13
Judicial  Service  Commission","Article  111  of  the  Constitution","Programme 01-","1,227,000","—","1,227,000"
"","","Operational  Activities","","",""
"14
National  Police  Commission","Article  155  of  the  Constitution","Programme 01-","3,113,000","—","3,113,000"
"","","Operational  Activities","","",""
"16
Commission  to  Investigate","Bribery or Corruption","Programme 01-","2,400,000","—","2,400,000"
"Allegations of Bribery or","Commission  Act No. 19 of 1994","Operational  Activities","","",""
"Corruption","","","","",""
"17
Department of Elections","Article  103  of  the  Constitution","Programme 01-","3,098,000","—","3,098,000"
"","Operational  Activities","","","",""
"18
Auditor General","Article  153  of  the  Constitution","Programme 01-","742,000","—","742,000"
"","","Operational  Activities","","",""
