"173","Co-operative  Employees","30201","Advances  to  Public  Officers","2,000,000","300,000","6,000,000","—"
"","Commission","","","","","",""
"174","Department  of  Textile","30301","Advances  to  Public  Officers","9,000,000","3,800,000","35,000,000","—"
"","Industries","","","","","",""
"175","Department  of  Meteorology","30401","Advances  to  Public  Officers","12,000,000","6,700,000","55,000,000","—"
"176","Department    of  Up-Country","30501","Advances  to  Public  Officers","2,000,000","900,000","7,000,000","—"
"","Peasantry  Rehabilitation","","","","","",""
"177","Department  of  Sri  Lanka","30601","Advances  to  Public  Officers","625,000,000","320,000,000","2,100,000,000","—"
"","Railways","","","","","",""
"178","Department  of  Sri  Lanka","30602","Railway  Stores  Advance","1,300,000,000","800,000,000","4,067,000,000 500,000,000",""
"","Railways","","Account","","","",""
"179","Department  of  Motor  Traffic","30701","Advances  to  Public  Officers","29,000,000","15,000,000","65,000,000","—"
"180","Department  of  Posts","30801","Advances  to  Public  Officers","700,000,000","517,300,000","1,760,000,000","—"
"181","Department  of  Buildings","30901","Advances  to  Public  Officers","23,000,000","13,000,000","86,000,000","—"
"182","Government  Factory","31001","Advances  to  Public  Officers","32,000,000","18,000,000","117,000,000","—"
"183","Government  Factory","31002","Government  Factory  Stores","120,000,000","120,000,000","10,000,000","—"
"","","","Advance  Account","","","",""
"184","Government  Factory","31003","Government  Factory  Work","260,000,000","280,000,000","180,000,000","—"
"","","","Done  Advance  Account","","","",""
"185","Department  of  National","31101","Advances  to  Public  Officers","16,500,000","8,000,000","106,000,000","—"
"","Physical  Planning","","","","","",""
"186","Department  of  Civil  Security","32001","Advances  to  Public  Officers","190,000,000","50,000,000","218,000,000","—"
"187","Department  of  National","32201","Advances  to  Public  Officers","20,000,000","8,100,000","49,000,000","—"
"","Botanical  Gardens","","","","","",""
"188","Department  of  Legal  Affairs","32301","Advances  to  Public  Officers","500,000","100,000","1,000,000","—"
"189","Department  of  Management","32401","Advances  to  Public  Officers","2,000,000","1,100,000","10,000,000","—"
"","Audit","","","","","",""
"190","Department  of  Community","32601","Advances  to  Public  Officers","3,000,000","1,800,000","13,000,000","—"
"","Based  Correction","","","","","",""
"","Total","","","20,756,442,000","13,256,442,000","45,093,500,000 615,000,000",""
