"","","","Ministry    of  Livestock  and  Rural  Community    Development","",""
"","","Recurrent","443,742,000","",""
"","","Capital","1,444,103,000","",""
"Made  up  as  follows  :—","","","","",""
"Head","140","","Minister    of  Livestock  and  Rural  Community    Development","",""
"5","","","","",""
"","","Programme  01","Operational  Activities","150,421,000","23,203,000"
"","","Programme  02","Development  Activities","17,555,000","989,950,000"
"Head","292","Department  of  Animal  Production  and  Health","","",""
"","","Programme  01","Operational  Activities","69,175,000","15,650,000"
"","","Programme  02","Development  Activities","206,591,000","415,300,000"
"","","Ministry  of  National  Heritage  and    Cultural    Affairs","","",""
"","","Recurrent","1,230,149,000","","Appropriation Act, No. 7 of 2010"
"","","Capital","1,422,114,000","",""
"Made  up  as  follows  :—","","","","",""
"Head","142","Minister  of  National  Heritage  and    Cultural    Affairs","","",""
"","","Programme  01","Operational  Activities","153,683,000","8,195,000"
"","","Programme  02","Development  Activities","364,342,000","1,092,965,000"
"Head","206","Department  of  Cultural  Affairs","","",""
"","","Programme  01","Operational  Activities","53,422,000","5,200,000"
"","","Programme  02","Development  Activities","163,658,000","56,210,000"
"Head","207","Department  of  Archaeology","","",""
"","","Programme  01","Operational  Activities","38,488,000","9,200,000"
"","","Programme  02","Development  Activities","322,669,000","31
57,850,000"
