"","","","fkj;njhopy;  mikr;R","","","",""
"","","","kPz;LtUk; nrytpdk;","2>170>347>000","","",""
"","","","%yjdr;  nrytpdk;","2>998>965>000","","",""
"mikT  tUkhW","",":","","","","",""
"jiyg;G","118","","fkj;njhopy;
;  mikr;rh;","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","147>170>000","17>750>000",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","285>257>000","1>985>130>000",""
"jiyg;G","285","","fkj;njhopy;  jpizf;fsk;","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","197>000>000","25>400>000",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","1>540>920>000","970>685>000",""
"","","","kpd;tY> vhprf;jp mikr;R","","","",""
"","","","kPz;LtUk; nrytpdk;","1>409>990>000","","",""
"","","","%yjdr;  nrytpdk;","32>704>650>000","","","rl;lk;
2010 Mk; Mz;bd; 20 Mk; ,yf;f> xJf;fPl;Lr;"
"mikT  tUkhW","",":","","","","",""
"jiyg;G","119","","kpd;tY> vhprf;jp mikr;rh;","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","1>409>990>000","2>284>650>000",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","-","30>420>000>000",""
"","","","rpWth;  mgptpUj;jp>  kfsph;  mYty;fs;  mikr;R","","","",""
"","","","kPz;LtUk; nrytpdk;","677>000>000","","",""
"","","","%yjdr;  nrytpdk;","310>000>000","","",""
"mikT  tUkhW","",":","","","","",""
"jiyg;G","120","","rpWth;  mgptpUj;jp>  kfsph;  mYty;fs;  mikr;rh;","","","",""
"","","","epfo;r;rpj;jpl;lk;  01  nray;Kiwr;  nraw;ghLfs;","","233>175>000","75>500>000",""
"","","","epfo;r;rpj;jpl;lk;  02  mgptpUj;jpr;  nraw;ghLfs;","","298>280>000","229>200>000","21"
