"","Section","","Provision"
"10.","140,  141  and","-","Non-compliance  with  speed"
"","142","","limits"
"","141A(1)(a)","-","In  excess  of  the  speed  limit"
"","","","prescribed    up  to  twenty  per"
"","","","centum"
"","141A(1)(b)","-","In 
excess 
of 
twenty 
per"
"","","","centum  and  less  than  thirty"
"","","","per centum of the speed  limit"
"","","","prescribed"
"","141A(1)(c)","-","In  excess  of  thirty  per  centum"
"","","","and  less than fifty per  centum"
"","","","of  the  speed  limit  prescribed"
"","141A(1)(d)","-","In  excess  of  fifty  per  centum"
"","","","of  the  speed  limit  prescribed"
