"","","","","","of the","Accounts of","of the","of the",""
"","","","","","Government","Activities of the  Government","","Government",""
"","","","","","","Government","","",""
"","","","","","Rs.","Rs.","Rs.","Rs.",""
"","29","Minister of Transport,","11701","Advances to Public","","","","",""
"","","Highways, Ports and Civil","","Officers","50,000,000","27,000,000","206,000,000","","-"
"","","Aviation","","","","","","",""
"","30","Minister of Agriculture,","11801","Advances to Public","","","","",""
"5","","Livestock, Land and Irrigation","","Officers","220,000,000","133,000,000","1,000,000,000","",""
"","","","","","","","","","-"
"","31","Minister of Energy","11901","Advances to Public","","","","",""
"","","","","Officers","20,000,000","11,000,000","60,000,000","",""
"","","","","","","","","","-"
"","32","Minister of Urban","12301","Advances to Public","","","","",""
"","","Development, Construction","","Officers","70,000,000","39,000,000","305,000,000","","-"
"10","","and Housing","","","","","","",""
"","33","Minister of Rural Develop-","12401","Advances to Public","","","","",""
"","","ment, Social Security and","","Officers","45,000,000","28,000,000","181,000,000","","-"
"","","Community Empowerment","","","","","","",""
"","34","Minister of Education, Higher","12601","Advances to Public","","","","","-"
"15","","","","","4,600,000,000","2,235,000,000","10,000,000,000","",""
"","","Education and Vocational","","Officers","","","","",""
"","","Education","","","","","","",""
"","35","Minister of Public Administra-","13001","Advances to Public","","","","",""
"","","","","","100,000,000","77,000,000","500,000,000","","-"
"","","tion, Provincial Councils and","","Officers","","","","",""
"","","Local Government","","","","","","",""
