"","16","Parliament","Article  65 of the","Programme 01-","",""
"","","","Constitution","Operational","",""
"","","","","","2,600,000","2,600,000"
"","","","","Activities","",""
"","20","Election Commission","Article  103 of the","Programme 01-","",""
"5","","","Constitution","Operational","",""
"","","","","","6,000,000","6,000,000"
"","","","","Activities","",""
"","21","National Audit Office","Article  153 of the","Programme 01-","",""
"","","","Constitution","Operational","",""
"","","","","","2,200,000","2,200,000"
"","","","","Activities","",""
"10","22","Office of the Parliamentary","Article  156 of the","Programme 01-","",""
"","","Commissioner for","Constitution","Operational","",""
"","","","","","1,700,000","1,700,000"
"","","Administration","","Activities","",""
"","23","Audit Service Commission","Article  153A of the","Programme 01-","",""
"","","","Constitution","Operational","",""
"","","","","","5,200,000","5,200,000"
"15","","","","Activities","",""
"","24","National Procurement Com-","Article  156B of the","Programme 01-","",""
"","","mission","Constitution","Operational","",""
"","","","","","6,000,000","6,000,000"
"","","","","Activities","",""
"","111","Ministry of Health and Mass","Medical Ordinance","Programme 01-","",""
"20","","Media","(Chapter 105)","Operational","",""
"","","","","","2,000","2,000"
"","","","","Activities","",""
"","249","Department of Treasury","Section 38 of the Public","Programme 01-","",""
"","","Operations","Debt Management Act,","Operational","",""
"","","","","","2,615,300,000,000  1,852,137,000,000","4,467,437,000,000"
"","","","No. 33 of 2024, Local","Activities","",""
"25","","","Treasury Bills Ordinance","","",""
"","","","(Chapter 417) section 6(1) of","","",""
"","","","the Active Liability","","",""
"","","","Management Act, No. 8 of","","",""
"","","","2018","","",""
