"","Head  Unit/Ministry/Department","","Provision of the Constitution","Expenditure","Recurrent","Capital","Total"
"","No.","or Institution by whom","and Law under which","Programme","Expenditure","Expenditure","Expenditure"
"","","expenditure is incurred","expenditure is authorized","","Rs.","Rs.","Rs."
"","253","Department of Pensions","Widows’  and Orphans’","Programme 01-","","",""
"","","","Pension Fund  Ordinance","Operational","","",""
"","","","","","78,000,000,000","","78,000,000,000"
"","","","(Chapter 431), Widowers’ &","Activities","","",""
"","","","Orphans’ Pensions Act, No.","","","",""
"5","","","24 of   1983,  Widows’ and","","","",""
"","","","Orphans’ Pension  Scheme","","","",""
"","","","(Armed Forces) Act, No. 18","","","",""
"","","","of 1970, School Teachers’","","","",""
"","","","Pensions Act, (Chapter 432)","","","",""
