"","Head   290","Department of Fisheries and Aquatic Resources","",""
"","","Programme 01 
Operational Activities","1,257,700,000","185,400,000"
"","","Ministry of Environment","",""
"","","Recurrent 
 
 14,200,000,000","",""
"5","","Capital 
 
 4,100,000,000","",""
"","Made up as follows :-","","",""
"","Head   160","Minister of Environment","",""
"","","Programme 01 
Operational Activities","1,093,000,000","97,000,000"
"","","Programme 02  
Development Activities","1,944,000,000","1,165,000,000"
"10","Head   283","Department of Forest Conservation","",""
"","","Programme 01 
Operational Activities","3,020,000,000","1,365,000,000"
"","Head   284","Department of Wildlife Conservation","",""
"","","Programme 01 
Operational Activities","5,801,000,000","483,000,000"
"","Head   291","Department of Coast Consevation and Coastal Resource Management","",""
"15","","Programme 01 
Operational Activities","483,000,000","512,000,000"
"","Head   294","Department of National Zoological Gardens","",""
"","","Programme 02  
Development Activities","895,000,000","222,000,000"
"","Head   322","Department of National Botanic Gardens","",""
"","","Programme 02  
Development Activities","964,000,000","256,000,000"
