"","148","Department of Measurement","29801","Advances to Public","","","","",""
"","","Units, Standards and Services","","Officers","18,000,000","9,000,000","45,000,000","-",""
"","149","National Intellectual Property","29901","Advances to Public","","","","",""
"","","Office of Sri Lanka","","Officers","7,000,000","5,000,000","50,000,000","-",""
"5","150","Department of Food","30001","Advances to Public","","","","",""
"","","","","","6,000,000","4,000,000","25,000,000","-",""
"","","Commissioner","","Officers","","","","",""
"","151","Department of Co-operative","30101","Advances to Public","","","","-",""
"","","","","","7,000,000","5,000,000","15,000,000","",""
"","","Development (Registrar of","","Officers","","","","",""
"","","Co-operative Societies)","","","","","","",""
"","152","Co-operative Employees","30201","Advances to Public","","","","",""
"10","","","","","2,000,000","1,000,000","5,500,000","-",""
"","","Commission","","Officers","","","","",""
"","153","Department of Textile","30301","Advances to Public","","","","",""
"","","Industries","","Officers","12,000,000","7,000,000","50,000,000","-",""
"","154","Department of Meteorology","30401","Advances to Public","","","","","Appropriation"
"","","","","Officers","35,000,000","15,000,000","60,000,000","-",""
"15","155","Department of Sri Lanka","30601","Advances to Public","","","","",""
"","","Railways","","Officers","700,000,000","610,000,000","1,650,000,000","-",""
"","156","Department of Sri Lanka","30602","Railway Stores","","","","",""
"","","Railways","","Advance Account","3,500,000,000","3,500,000,000","10,500,000,000","2,000,000,000",""
"","157","Department of Motor Traffic","30701","Advances to Public","","","","",""
"","","","","Officers","65,000,000","50,000,000","212,000,000","-",""
"20","","","","","","","","",""
"","158","Department of Posts","30801","Advances to Public","","","","",""
"","","","","Officers","1,300,000,000","975,000,000","4,000,000,000","-",""
"","159","Department of Buildings","30901","Advances to Public","","","","",""
"","","","","Officers","40,000,000","27,000,000","145,000,000","-",""
"","160","Department of Government","31001","Advances to Public","","","","",""
"25","","","","","","","","-",""
"","","","","","35,000,000","20,000,000","125,000,000","",""
"","","Factories","","Officers","","","","","55"
