"ෙක)ටෙසo","","ස-tdණ නම/න- සහ 0!නය","හ
ැ
uE-ප;  ඉඩෙ-  ප(cid:10)(cid:27)ය සහ","උකස් සහ බැv-","න- ඒ !Gබඳ"
"අංකය","","","අ
ං
කය 
(cid:7)මාණය  ස්වභාවය","!Gබඳ (cid:28)ස්තර","(cid:28)ස්තර"
"(","ෙහHටයාd)","","","",""
"7","0.0082","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
"33","0.0019","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
"39","0.0327","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
"49","0.0093","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
"60","0.0172","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ඇළ"
"62","0.0025","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","ඇළ"
"102","0.1289","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
"104","0.0173","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
"108","0.0113","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
"113","0.0149","රජය","– 
ස-tdණ  (cid:7)ථම ප(cid:10)(cid:27)ය","–","මාdගය"
