"Programme 03 - Provincial Council Administration","69,421,500.00","-"
"Ministry of Law and Order, Finance and Planning, Local","",""
"Government, Health, Indigenous Medicine and Women","",""
"Programme 03 - Provincial Council Administration","128,657,495.00","4,000,000.00"
"Programme 47 - Transport Services","10,000,000.00","39,000,000.00"
"Programme 49 - Electricity and  Energy Services","","28,000,000.00"
"Programme 53 - Co-operative Development","","11,000,000.00"
"Programme 60 - Community Development","","250,418,290.00"
"Programme 61 - Housing and Community Facilities","2,318,900.00","35,775,000.00"
"Programme 63 - Estate Infrastructure facilities and Estate Housing","","47,000,000.00"
"Programme 71 - Hospital  Services","","487,496,197.24"
"Programme 72 - Public Health Services","","131,000,000.00"
"Programme 73 - Indigenous Medicine Services","","91,000,000.00"
"Programme  93  Religious and Cultural Affairs","","24,000,000.00"
"Programme  96  - Women  Development","","9,000,000.00"
