"","I ෙක(cid:675)ටස: (I) ෙඡදය – (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය – 2025.09.17",""
"PART I: SEC. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 17.09.2025","",""
"Child Development Ofﬁcer/","",""
"Orderly and Ward Attendant","","Rs.   775.00"
"Midwife Grade II/ Apprentice  Pharmacist/","",""
"Midwife Grade I/and Welfare Ofﬁcer","","Rs.   925.00"
"Pharmacist/Junior Estate Medical Ofﬁcer","","Rs.1,125.00"
"Estate Medical Practitioner","","Rs.1,675.00"
"Medical Practitioner","","Rs. 2,125.00"
"C
hild Development Ofﬁcer/","",""
"Orderly/Ward Attendant","","Rs. 875.00"
"on completion of 15 years satisfactory  service","} }",""
"Midwife Grade II/Apprentice Pharmacist/","",""
"Midwife Grade I/ and Welfare Ofﬁcer","","Rs. 1,025.00"
"on completion of 15 years satisfactory service","",""
