"","","","","යෙවන උපයල්ඛනය","","",""
"","","","ආණ්ඩුක්‍රම ව‍යවස්ථාව සහ යවනත් නීති මගින්ත ්බලය ලැබී ඇති ඒකා්බදධ අරමුෙලට වැය ්බරක් විය යුතු රජයේ වියෙම","","","",""
"","ව
ැ
ය","වියදම දරණ ඒකකය/","වියදම සඳහපා බලය ගදන","වියදම වැඩසටහන පුනරපාවර්ත්න වියදම","","මූල්ධන","මුළු"
"","ශීර්්ෂ","අමපාත්‍යපාංශය/","ලද ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","","රු
.","වියදම","වියදම"
"","අ
ං
කය","ගද්පාර්ත්ගමන්තුව /","සහ නීතිගේ ප්‍රති්පාදනය","","","රු
.","රු
."
"","","ආයත්නය","","","","",""
"","1","අතිගරු ජනපාධි්ති","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","7,020,000","-","7,020,000"
"","","","36 වන ව‍යවසේථපාව","ගමගහයුම","","",""
"","","","","වැඩසටහන","","",""
"","4","උ්රිමපාධිකරණවල","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","95,000,000","-","95,000,000"
"5","","විනිශේචයකපාරවරු","108 වන ව‍යවසේථපාව","ගමගහයුම","","",""
"","","","","වැඩසටහන","","",""
"","6","රපාජ‍ය ගසේවපා ගකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","10,260,000","-","10,260,000"
"","","ස්භපා කපාර්යපාලය","වන ්රිචගේදය","ගමගහයුම","","",""
"","","","","වැඩසටහන","","",""
"","","","IX","","","",""
"10","7","අධිකරණ ගසේවපා","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","2,700,000","-","2,700,000"
"","","ගකපාමි්ෂන් ස්භපාව","අ වන ්රිචගේදය","ගමගහයුම","","",""
"","","","","වැඩසටහන","","",""
"","","","XV","","","",""
"","8","ජපාතික ග්පාලිසේ ගකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","8,100,000","-","8,100,000"
"","","ස්භපාව","අ වන ්රිචගේදය","ගමගහයුම","","",""
"15","","","","වැඩසටහන","","",""
"","","","XVIII","","","",""
