"","ව
ැ
ය","වියදම දරණ ඒකකය/","වියදම සඳහපා බලය ගදන","වියදම වැඩසටහන පුනරපාවර්ත්න වියදම","මූල්ධන","මුළු"
"","ශීර්්ෂ","අමපාත්‍යපාංශය/","ලද ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","රු","වියදම 
.","වියදම"
"","අ
ං
කය","ගද්පාර්ත්ගමන්තුව /","සහ නීතිගේ ප්‍රති්පාදනය","","රු
.","රු
."
"","","ආයත්නය","","","",""
"","10","අල්ලසේ ගහපාේ දූ්ෂණ","2023 අංක 9 දරන දූ්ෂණ","වැඩසටහන 01 
           16,800,000","-","16,800,000"
"","","ගචපාේදනපා විමර්්ෂන","විගරපාේධී ්නත්","ගමගහයුම","",""
"","","ගකපාමි්ෂන් ස්භපාව","","වැඩසටහන","",""
"","16","්පාර්ලිගමන්තුව","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","1,500,000 
  -","1,500,000"
"5","","","65 වන ව‍යවසේථපාව","ගමගහයුම","",""
"","","","","වැඩසටහන","",""
"","20","මැතිවරණ ගකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","6,000,000 
  -","6,000,000"
"","","ස්භපාව","103 වන ව‍යවසේථපාව","ගමගහයුම","",""
"","","","","වැඩසටහන","",""
"10","21","ජපාතික විගණන","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","1,700,000 
  -","1,700,000"
"","","කපාර්යපාලය","153 වන ව‍යවසේථපාව","ගමගහයුම","",""
"","","","","වැඩසටහන","",""
"","22","්රි්පාලන කටයුතු","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","1,700,000 
  -","1,700,000"
"","","පිළිබඳ ්පාර්ලිගමන්තු","156 වන ව‍යවසේථපාව","ගමගහයුම","",""
"15","","ගකපාමසපාරිසේ කපාර්යපාලය","","වැඩසටහන","",""
"","23","විගණන ගසේවපා ගකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","5,200,000 
  -","5,200,000"
"","","ස්භපාව","153 (අ) වන ව‍යවසේථපාව","ගමගහයුම","",""
"","","","","වැඩසටහන","",""
"","24","ජපාතික ප්‍රසම්පාදන","ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වැඩසටහන 01","6,000,000 
  -","6,000,000"
"20","","ගකපාමි්ෂන් ස්භපාව","156 (ආ) වන ව‍යවසේථපාව","ගමගහයුම","",""
"","","","","වැඩසටහන","",""
"","111","ගසෞඛ‍ය සහ ජනමපා්ධ‍ය","වවද‍ය ආඥපා්නත්","වැඩසටහන 01","2,000 
  -","2,000"
"","","අමපාත්‍යපාංශය","(105 වන අධිකපාරය)","ගමගහයුම","",""
"","","","","වැඩසටහන","",""
