"","ශීර්්ෂ","අමපාත්‍යපාංශය/","ලද ආණ්ඩුක්‍රම ව‍යවසේථපාගේ","වියදම 
රු
.","වියදම",""
"","අ
ං
කය","ගද්පාර්ත්ගමන්තුව /","සහ නීතිගේ ප්‍රති්පාදනය","රු
.","රු
.",""
"","","ආයත්නය","","","",""
"","","","33101","රජගේ නිල්ධපාරීන්ට අත්තිකපාරම       260,000,000           205,000,000          360,000,000","","-"
"","172","සමෘදධි සංවර්්ධන","","","",""
"","","ගද්පාර්ත්ගමන්තුව","","","",""
"","","","33201","රජගේ නිල්ධපාරීන්ට අත්තිකපාරම         30,000,000             12,000,000          150,000,000","","-"
"","173","ජපාතික ප්‍රජපා ජල සැ්යුම","","","",""
"","","ගද්පාර්ත්ගමන්තුව","","","",""
"","","","33301","රජගේ නිල්ධපාරීන්ට අත්තිකපාරම           5,000,000               2,000,000              9,000,000","","-"
"5","174","ගකපාමප්ගට්පාේලර් ජනරපාල්","","","",""
"","","කපාර්යපාලය","","","",""
"","","","33501","රජගේ නිල්ධපාරීන්ට අත්තිකපාරම           4,000,000               1,000,000              8,000,000","","-"
"","175","ජපාතික අ්ධ‍යපා්න ගකපාමි්ෂන්","","","",""
"","","ස්භපාව","","","",""
"","","","33601","රජගේ නිල්ධපාරීන්ට අත්තිකපාරම           5,000,000               2,100,000            15,000,000","","විසර්ජන
 -"
"","176","ගවළඳ නපාවික ගල්කම","","","",""
"10","","කපාර්යපාලය","","","",""
"","","","33701","රජගේ නිල්ධපාරීන්ට අත්තිකපාරම           7,000,000               1,000,000            15,000,000","","-"
"","177","කුරුඳු කර්මපාන්ත් සංවර්්ධන","","","",""
"","","ගද්පාර්ත්ගමන්තුව","","","",""
"","","","33801","රජගේ නිල්ධපාරීන්ට අත්තිකපාරම           8,000,000                  500,000              4,500,000","","-"
"","178","රපාජ‍ය ණය කළමනපාකරණ","","","",""
"","","කපාර්යපාලය","","","",""
"15","","","","43,218,025,000 
36,218,025,000 
84,532,500,000","12,065,000,000",""
"","","එකතුව","","","",""
