"Scientific  Name","English
Sinhala"
"","Name
Name"
"Family:  Pterodacea",""
"Actiniopteris  radiata",""
"Cheilanthes  thwaitesii",""
"Idiopteris  hookeriana",""
"Pellaea  boivini",""
"Pellaea  falcata",""
"Pteris  argyraea",""
"Pteris  confusa",""
"Pteris  Gongalensis",""
"Pteris  praetermissa",""
"Pteris  reptans",""
"Family:  Aspleniacea",""
"Asplenium  disjunctum",""
"Asplenium  longipes",""
"Asplenium  nitidum",""
"Asplenium  obscurum",""
"Asplenium  pellucidum",""
"Family:  Cyatheaceae  (all  species)",""
"Cyathea  Hookeri",""
"Cyathea  sinuata","Tree  Fern  (E) Miman  Gas  (S)"
"Cyathea  crinita","Tree  Fern  (E) Miman  Gas  (S)"
"Cyathea  gigantes","Tree  Fern  (E) Miman  Gas  (S)"
"Cyathea  walkerar","Tree  Fern  (E) Miman  Gas  (S)"
"Family:  Dennstaedtiaceae",""
"Microlepia  majuscula",""
"Lindsaea  repens  var.  pectinata",""
"Family:  Dryopteridaceae",""
"Polystichum  anomalum",""
"Pteridrys  zeylanica",""
"Tectaria  thwaitesii",""
"Family:  Woodsiaceae",""
"Deparia  Ployrhizos",""
"Deparia  zeylanica",""
"Diplazium  cognatum",""
"Diplazium  paradoxum",""
"Family:  Grammitidaceae",""
"Chrysogrammitis  glandulosa",""
"Ctenopteris  repandula",""
"Ctenoperis  thwaitiesii",""
"Grammitis  wallii",""
"Scleroglossum  sulcatum",""
"Xiphopteris  cornigera",""
