"80
Fauna and Flora Protection (Amendment)"
"Act, No.22 of 2009"
"Scientific  Name
English
Sinhala
Tamil"
"Name
Name
Name"
"Syzygium  hemisphericum"
"Syzygium  lanceolatum"
"Syzygium  lewisii"
"Syzygium  micranthum"
"Syzygium  oliganthum"
"Syzygium  operculatum
domba  (S)"
"Syzygium  revolutum"
"Syzygium  sclerophyllum"
"Syzygium  spathulatum"
"Syzygium  turbinatum"
"Syzygium  umbrosum
Vali-damba,"
"Hin-damba  (S)
Naval(T)"
"Family:  Nepanthaceae"
"Nepenthes  distillatoria
Pitcher
Bandura  wel  (S)"
"Plant  (E)"
"Family  :  Oleaceae"
"Jasminum  bignoniaceum"
"Olea  paniculata"
"Family  :  Orchidaceae"
"All  species  belonging  to"
"Orchidaceae  family
Udawediya  (S)"
"Family  :  Orobanchaceae"
"Aeginetia  pedunculata"
"Legocia  aurantiaca"
"Christisonia  thwaitesii"
"Family  :  Phyllanthaceae"
"Antidesma  thwaitesianum
Karawela-"
"kebella  (S)"
"Bridelia  stipularis"
"Cleistanthus  accuminatus
Madara  (S)"
"Cleistanthus  collinus"
"Glochidion  nemorale"
"Phyllanthus  cinereus"
"Phyllanthus  hakgalensis"
"Phyllanthus  heyneanus"
"Phyllanthus  rotundifolius"
"Phyllanthus  zeylanicus"
"Sauropus  assimilis"
"Sauropus  retroversus"
"Family  :  Podostemaceae"
"Farmeria  metzgerioides"
