"150 District  Secretariat/Kachcheri,","26601 Advances  to  Public  Officers","11,000,000","7,000,000","40,000,000","—"
"Vavuniya","","","","",""
"151 District  Secretariat/Kachcheri,","26701 Advances  to  Public  Officers","16,000,000","6,500,000","50,000,000","—"
"Mullaitivu","","","","",""
"152 District  Secretariat/Kachcheri,","26801 Advances  to  Public  Officers","12,000,000","7,000,000","47,000,000","—"
"Killinochchi","","","","",""
"153 District  Secretariat/  Kachcheri,","26901 Advances  to  Public  Officers","32,000,000","18,000,000","100,000,000","—"
"Batticaloa","","","","",""
"154 District  Secretariat,  Ampara","27001 Advances  to  Public  Officers","52,000,000","32,000,000","160,000,000","—"
"155 District  Secretariat/Kachcheri,","27101 Advances  to  Public  Officers","23,000,000","15,000,000","100,000,000","—"
"Trincomalee","","","","",""
"156 District  Secretariat,  Kurunegala 27201 Advances  to  Public  Officers","","70,000,000","70,000,000","290,000,000","—"
"157 District  Secretariat,  Puttalam","27301 Advances  to  Public  Officers","45,000,000","30,000,000","160,000,000","—"
"158 District  Secretariat,","27401 Advances  to  Public  Officers","50,000,000","40,000,000","190,000,000","—"
"Anuradhapura","","","","",""
"159 District  Secretariat,","27501 Advances  to  Public  Officers","24,000,000","16,000,000","96,000,000","—"
"Polonnaruwa","","","","",""
"160 District  Secretariat,  Badulla","27601 Advances  to  Public  Officers","40,000,000","28,000,000","156,000,000","—"
"161 District  Secretariat,","27701 Advances  to  Public  Officers","33,000,000","25,000,000","125,000,000","—"
"Moneragala","","","","",""
"162 District  Secretariat,  Ratnapura","27801 Advances  to  Public  Officers","54,000,000","33,000,000","200,000,000","—"
"163 District  Secretariat,  Kegalle","27901 Advances  to  Public  Officers","39,000,000","27,000,000","144,000,000","—"
"164 Department  of  Project","28001 Advances  to  Public  Officers","3,500,000","2,400,000","18,000,000","—"
"Management  and  Monitoring","","","","",""
"165 Department  of  Agrarian","28101 Advances  to  Public  Officers","200,000,000","130,000,000","500,000,000","—"
"Development","","","","",""
"166 Department  of  Irrigation","28201 Advances  to  Public  Officers","120,000,000","100,000,000","500,000,000","—"
"167 Department  of  Forests","28301 Advances  to  Public  Officers","60,000,000","46,000,000","274,000,000","—"
"168 Department  of  Wildlife","28401 Advances  to  Public  Officers","39,000,000","27,000,000","140,000,000","—"
"Conservation","","","","",""
