"Head","","","Recurrent","Capital","34"
"No.","","","Expenditure","Expenditure",""
"","","","Rs.","Rs.",""
"","Ministry  of  Foreign  Employment  Promotion  and  Welfare","","","",""
"","Recurrent","492,950,000","","",""
"","Capital","533,050,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head
182","Minister  of  Foreign  Employment  Promotion  and  Welfare","","","",""
"","Programme  01
Operational  Activities","","48,900,000","4,200,000",""
"","Programme  02
Development  Activities","","444,050,000","528,850,000",""
"","Ministry  of  Public  Relations  and  Public  Affairs","","","",""
"","Recurrent","76,830,000","","",""
"","Capital","350,000,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head
183","Minister  of  Public  Relations  and  Public  Affairs","","","","Appropriation Act, No. 41 of 2014"
"","Programme  01
Operational  Activities","","76,830,000","350,000,000",""
"","Ministry  of  Private  Transport  Services","","","",""
"","Recurrent","681,000,000","","",""
"","Capital","200,000,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head
184","Minister  of  Private  Transport  Services","","","",""
"","Programme  01
Operational  Activities","","81,000,000","44,000,000",""
"","Programme  02
Development  Activities","","600,000,000","156,000,000",""
"","Ministry  of  Telecommunication  and  Information  Technology","","","",""
"","Recurrent","229,000,000","","",""
"","Capital","1,300,000,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head
185","Minister  of  Telecommunication  and  Information  Technology","","","",""
"","Programme  01
Operational  Activities","","119,000,000","218,000,000",""
"","Programme  02
Development  Activities","","110,000,000","1,082,000,000",""
