"Head
Institution  by  whom","expenditure  is","Programme","expenditure","expenditure","expenditure"
"No.
expenditure  is  incurred","authorised","","Rs.","Rs.","Rs."
"1 0
Commission  to  Investigate","The  Commission    to  Investigate","Programme  01-","2,400,000","—","2,400,000"
"Allegations  of  Bribery  or","Allegations  of  Bribery  or","Operational","","",""
"Corruption","Corruption  Commission","Activities","","",""
"","Act,  No.  19  of  1994","","","",""
"1 6
Parliament","Article  65  of  the  Constitution","Programme  01-","1,200,000","—","1,200,000"
"","","Operational","","",""
"","","Activities","","",""
"2 0
Department  of  Elections","Article  103  of  the  Constitution","Programme  01-","3,100,000","—","3,100,000"
"","","Operational","","",""
"","","Activities","","",""
"2 1
Auditor  General","Article  153  of  the  Constitution","Programme  01-","650,000","—","650,000"
"","","Operational","","",""
"","","Activities","","",""
"2 2
Office  of  the  Parliamentary","Article  156  of  the  Constitution","Programme  01-","800,000","—","800,000"
"Commissioner  for","","Operational","","",""
"Administration","","Activities","","",""
"111 Ministry  of  Health","Medical  Ordinance  (Chapter  105)Programme  01-","","2,000","—","2,000"
"","","Operational","","",""
"","","Activities","","",""
