"October,  2019","","November, 2019","October,  2019","","November, 2019"
"","Other  Liabilities","","","Foreign  Currency  Non  Financial  Assets",""
"","","","","Gold",""
"4,615","Deferred Grants","4,615","172,917,287,746
172,917,287,746","","165,363,090,166"
"10,600,323,859","Pension and Other Post","10,599,581,491","","",""
"","Employment Benefit Plans","","","",""
"247,405,716
10,847,734,190","Miscellaneous Liabilities and Accruals","139,567,039
10,739,153,145","","",""
"","","","","Non  Financial  Assets",""
"","Equity","","6,483,624,117","Inventories","6,668,942,787"
"50,000,000,000","Capital  Funds","50,000,000,000","1,269,907,389","Other Receivables and Prepayments","1,211,761,052"
"253,289,782,311
   303,289,782,311","Reserves","240,263,487,338
290,263,487,338","16,816,657,800","Property, Plant & Equipment","16,784,722,413"
"","","","24,610,481,739
40,292,433","Intangible Assets","39,122,198"
