",r;rl;lj;jpd;","Kjd;ikr;  rl;lthf;fj;jpd;","eilKiwf;F"
"gphpT","gphpT","tUk; Njjp"
"3","10","01.04.2021"
"7","18","01.04.2021"
"8","19","01.04.2018"
"9","46","01.04.2021"
"10","54","01.04.2018"
"12","69","01.04.2018"
"13","72","01.04.2018"
"14","73","01.04.2018"
"15","83m","01.01.2023"
"16","84m","01.01.2023"
"17","85","01.01.2023"
"19","88","01.01.2023"
"20","90","01.04. 2021"
"29","139","01.04.2023"
"35(2)","195","01.04.2020"
"36(1) kw;Wk; (7)","Kjyhk;  ml;ltizapd;  ge;jp","01.04.2023"
"","I ,d; (1,) Mk; cl;ge;jp",""
"","kw;Wk;  ge;jp  11",""
