"2025 ඔක්ගේතාා්බර් මස් 10 වාැනි දින සිට පහතා ස්ඳහන්  නිගේයා්ජාය අංමාතායවාරුන් ප� කරන ලංද බවා ගේමයින් නිගේේදනය කරනු ලංැගේ� .","","",""
"","නම","","නිවේයා්ජ්‍යය අමාත්‍යය ධුරය"
"1.","ගරු අංන්ගේතාා්නිගේ� අංනිල් ජායන්තා ප්‍රනාන්දු මැතිතුමා, පා.ම.","-","මුදල් ස්හ ක්‍රමස්ම්පාදන නිගේයා්ජාය අංමාතාය"
"2.","ගරු ටිකිරි බංඩලංාගේ� ස්ර� මැතිතුමා, පා.ම.","-","නිවාාස්, ඉදිකිරීම් ස්හ ජාලං ස්ම්පාදන නිගේයා්ජාය අංමාතාය"
"3.","ගරු එම්.එම්. ගේමාහමඩ් මුනීර් මැතිතුමා, පා.ම.","-","ආගමික ස්හ ස්ංස්්කෘතික කටයුතු  නිගේයා්ජාය අංමාතාය"
"4.","ගරු එරංග ගුණාගේස්්කර මැතිතුමා, පා.ම.","-","නාගරික ස්ංවාර්ධන නිගේයා්ජාය අංමාතාය"
"5.","ගරු මුදිතා හංස්ක විගේේමුණි මැතිතුමා, පා.ම.","-","ගේස්ෞඛ්‍යය නිගේයා්ජාය අංමාතාය"
"6.","ගරු අංරවින්ද ගේස්නර� විතාාරණා මැතිතුමා, පා.ම.","-","ඉඩම් ස්හ වාාරිමාර්ග නිගේයා්ජාය අංමාතාය"
"7.","ගරු එච්.එම්. දිනිඳු ස්මන් කුමාර මැතිතුමා, පා.ම.","-","තාරුණා කටයුතු නිගේයා්ජාය අංමාතාය"
"8.","ගරු ගේකෞෂලංයා ආරියර�න මැතිතුමිය, පා.ම.","-","ජානමාධය නිගේයා්ජාය අංමාතාය"
"9.","ගරු මුහම්මදු ඉල්යාස්් මුහම්මදු අංර්කම් මැතිතුමා, පා.ම.","-","බලංශක්ති නිගේයා්ජාය අංමාතාය"
"10.","ගරු උස්්ගේහට්ටිගේ� ගේදාන් නිශාන්තා ජායවීර මැතිතුමා, පා.ම.","-","ආර්ථික ස්ංවාර්ධන නිගේයා්ජාය අංමාතාය"
