"wkq'","rg","rfgys","jHjydr","jHjydr","úksuh"
"wxlh","","ixfla;h","u
o,a","u
o,a","wkqmd;"
"","","","","ixfla;h","^
r
e
m
h,a&"
"1'","TiafÜ%,shdj","AU","TiafÜ%,shdkq fvd,¾","AUD","202.0140"
"2'","nyf¾ka","BH","nyf¾ka äkd¾","BHD","812.3806"
"3'","nx.a,dfoaYh","BD","nx.a,dfoaY gld","BDT","2.5166"
"4'","n%iS,h","BR","n%is,a ßhd,a","BRL","57.3717"
"5'","nDDkdhs","BN","nDDkdhs fvd,¾","BND","237.4719"
"6'","lekvdj","CA","lefkaähdkq fvd,¾","CAD","219.2872"
"7'","Ökh","CN","Ök hqjdka ^´*afIda&","CNH","42.9181"
"8'","Ökh","CN","Ök hqjdka ^frkañkaì&","CNY","43.0178"
"9'","fpfldiaf,djelshdj","CZ","fpfldiaf,djela fldrekd","CZK","14.7855"
"10'","fvkaud¾lh","DK","fvkaud¾l fl%dak¾","DKK","48.0842"
"11'","Bðma;=j","EG","Bðma;= mjqï","EGP","6.4140"
"12'","hQfrda l,dmh","","hQfrda","EUR","359.0221"
"13'",">dkdj","GH",">dkd fiä","GHS","24.5014"
"14'","fydx fldx","HK","fydx fldx fvd,¾","HKD","39.3599"
"15'","yxf.aßhdj","HU","yxf.aßhdkq f*dßkaÜ","HUF","0.9223"
"16'","bkaÈhdj","IN","bkaÈhdkq remsh,a","INR","3.4509"
"17'","bkaÿkSishdj","ID","bkaÿkSishdkq remshd","IDR","0.0184"
"18'","brdkh","IR","brdk ßhd,a","IRR","0.0073"
"19'","cmdkh","JP","cmdk fhka","JPY","2.0748"
"20'","fcda¾odkh","JO","fcda¾odk äkd¾","JOD","431.9711"
"21'","fldßhdj","KR","fldßhdkq fjdka","KRW","0.2174"
"22'","l=fõÜ","KW","l=fõÜ äkd¾","KWD","1,001.1196"
"23'","ueldjq","MO","ueldjq mgld","MOP","38.1951"
"24'","u,hdishdj","MY","uef,aishdkq ßx.sÜ","MYR","72.7045"
"25'","ud,Èjhsk","MV","ud,Èjhska remshd","MVR","19.8103"
"26'","uqreish","MU","uqreis remsh,a","MUR","6.7668"
"27'","ñhkaud¾","MM","ñhkaudr lahdÜ","MMK","0.1458"
"28'","fkamd,h","NP","fkamd, remsh,a","NPR","2.1582"
"29'","kjiS,ka;h","NZ","kjiS,ka; fvd,¾","NZD","178.2936"
"30'","khsÔßhdj","NG","khsÔßhdkq khsrd","NGN","0.2084"
"31'","fkda¾fõ","NO","fkda¾ùðhdkq fl%dak¾","NOK","30.6643"
"32'","´udkh","OM","´udka ßhd,a","OMR","795.5207"
"33'","mlsia:dkh","PK","mlsia:dkq remsh,a","PKR","1.0792"
"34'","memqjd ksõ.skshdj","PG","memqjd ksõ .skshdkq lskd","PGK","72.0341"
"35'","ms,smSkh","PH","ms,smSkh fmfida","PHP","5.2798"
"36'","fmda,ka;h","PL","fmda,ka; iaf,dá","PLN","84.3027"
"37'","lgd¾","QA","lgd¾ ßhd,a","QAR","84.0263"
