"","","","","Government","Activities  of the","Government","Government"
"","","","","","Government","",""
"","","","","Rs.","Rs.","Rs.","Rs."
"","172","Department  of  Community  Based","","","","",""
"","","Corrections","32601 Advances  to  Public  Officers     50,000,000","","10,000,000","86,000,000","—"
"","173","Department  of  Land  Use  Policy","","","","",""
"","","Planning","32701 Advances  to  Public  Officers","20,000,000","15,000,000","75,000,000","—"
"5","174","Department  of  Manpower  and","","","","",""
"","","Employment","32801 Advances  to  Public  Officers     30,000,000","","13,000,000 100,000,000","","—"
"","175","Department  of  Information","","","","",""
"","","Technology  Management","32901 Advances  to  Public  Officers","3,400,000","1,800,000","12,000,000","—"
"","176","Department  of  Samurdhi","","","","",""
"10","","Development","33101 Advances  to  Public  Officers","250,000,000","180,000,000","400,000,000","—"
"","177","Department  of  National  Community","","","","",""
"","","Water  Supply","33201 Advances  to  Public  Officers","20,000,000","6,500,000 150,000,000","","—"
"","178","","Office  of  the  Comptroller  General 33301 Advances  to  Public  Officers","1,500,000","1,200,000","6,300,000","—"
