"","Head 252","","Department  of  Census  and  Statistics","",""
"","","","Programme  01
Operational  Activities","1,200,370,000","1,418,700,000"
"","Head","280","Department  of  Project  Management  and  Monitoring","",""
"","","","Programme  02
Development  Activities","94,650,000","4,400,000"
"5","Head","296","Department  of    Import  and  Export  Control","",""
"","","","Programme  01
Operational  Activities","143,885,000","9,800,000"
"","Head","323","Department  of  Legal  Affairs","",""
"","","","Programme  01
Operational  Activities","22,170,000","2,400,000"
"","Head","324","Department  of  Management  Audit","",""
"10","","","Programme  01
Operational  Activities","61,665,000","3,500,000"
"","Head","329","Department  of  Information  Technology  Management","",""
"","","","Programme  01
Operational  Activities","1,132,435,000","8,000,000"
"","Head","333","Office  of  the  Comptroller  General","",""
"","","","Programme  01
Operational  Activities","","49,980,000               3,100,000"
"15","","","Ministry  of  Defence","",""
"","","","Recurrent
  365,279,000,000","",""
"","","","Capital
      58,446,000,000","",""
"","","Made  up  as  follows  :-","","",""
"","Head","103","Minister  of  Defence","",""
"","","","Programme  01
Operational  Activities","7,331,000,000","9,378,000,000"
"20","","","","",""
"","","","Programme  02
Development  Activities","4,710,000,000","11,895,000,000"
