"","3 7","Minister  of  Plantation  Industries","13501 Advances  to  Public  Officers","35,000,000","17,000,000 100,000,000","—"
"","3 8","Minister  of  Industries","14901 Advances  to  Public  Officers","35,000,000","17,000,000   210,000,000","—"
"","3 9","Minister  of  Fisheries","15101 Advances  to  Public  Officers","10,000,000","7,000,000
40,000,000","—"
"","4 0","Minister  of  Environment","16001 Advances  to  Public  Officers","30,000,000","9,000,000
80,000,000","—"
"5","4 1","Minister  of  Wildlife  and  Forest","","","",""
"","","Resources  Conservation","16101 Advances  to  Public  Officers","7,000,000","3,500,000
  30,000,000","—"
"","4 2","Minister  of  Water  Supply  and","","","",""
"","","Estate  Infrastructure","","","",""
"","","Development","16601 Advances  to  Public  Officers","12,000,000","12,000,000
75,000,000","—"
"10","4 3","Minister  of  Women,  Child  Affairs","","","",""
"","","and  Social  Empowerment","17101 Advances  to  Public  Officers","70,000,000","230,000,000
37,000,000","—"
"","4 4","Minister  of  Ports,  Shipping  and","","","",""
"","","Aviation","17601 Advances  to  Public  Officers","7,000,000","4,000,000
  65,000,000","—"
"","4 5","Minister  of  Technology","18601 Advances  to  Public  Officers","6,000,000","800,000
  9,000,000","—"
"15","4 6","Minister  of  Investment  Promotion","18701 Advances  to  Public  Officers","9,000,000","6,000,000
  40,000,000","—"
"","4 7","Minister  of  Public  Security","18901 Advances  to  Public  Officers","75,000,000","48,000,000   110,000,000","—"
"","4 8","Minister  of  Labour  and  Foreign","","","",""
"","","Employment","","19301 Advances  to  Public  Officers        50,000,000   34,000,000    280,000,000","","—"
"","4 9","","Minister  of  Sport  and  Youth  Affairs19401 Advances  to  Public  Officers        45,000,000   27,000,000    200,000,000","","","—"
"20","5 0","Minister  of  Irrigation","","19801 Advances  to  Public  Officers        40,000,000   10,000,000    110,000,000","","—"
"","5 1","Department  of  Buddhist  Affairs","","20101 Advances  to  Public  Officers        40,000,000   20,000,000    140,000,000","","—"
"","5 2","Department  of  Muslim  Religious","","","",""
"","","and  Cultural  Affairs","20201 Advances  to  Public  Officers","3,000,000         2,600,000       12,000,000","","—"
"","5 3","Department  of  Christian  Religious","","","",""
"25","","Affairs","20301 Advances  to  Public  Officers         2,500,000","","1,500,000     12,000,000","—"
