"","","","","","",""
"3","","37(3)(a)","“to the shatres or 
debentures;”","","“to the shares or 
debentures;”",""
"","","","","","",""
"4","","40(3)(b)","“the dosuments (if 
any)”","","“the documents 
(if any)”",""
"5","","40(4)","“Where a 
prosopectus”","","“Where a 
prospectus”",""
"","","","","","",""
"6","","41 (Marginal 
Note)","“Civil liability 
untrue in 
prospectus”","","“Civil liability 
in respect of
untrue statement
in prospectus.”",""
"7","","41(2)(c)","“pubilc notice”","","“public notice”",""
"","","","","","",""
"8","","44(b)","“referrence 
incorporated”","","“reference 
incorporated”",""
"9","","61(3)(b)","“relive the director”","","“relieve the 
director”.",""
"","","","","","",""
"10","","64(3)(a)","“makes and offer”","","“makes an offer”.",""
"11","","67(2)(b)","56.”","","",""
"","","","","“pruposes of section","56.”","“purposes of section"
"","","","","","",""
"12","","77(1)","“title to the shares or 
debters”,","","“title to the shares or 
debtors”.",""
"13","","84(2)","“same priorites”","","“same priorities”;",""
"14","","84(4)","“issue of another 
denenture”,","","“issue of another 
debenture”;",""
"15","","84(5)","“priority which any 
person would have 
had”,","","“priority which any 
person would have 
had”.",""
"16","","86(3)","“shares have been 
transfered”,","","“shares have been 
transferred”.",""
"17","","92(1)(b)","“transaction for the 
purpose”,","","“transaction for the 
purpose”;",""
