"","","","",""
"61","","328(1)","“on the liquidator or an 
anthority”,","“on the liquidator or 
an authority”."
"62","","352","“for the prupose of 
giving jurisdiction”,","“for the purpose of 
giving jurisdiction”."
"63","","358(11)(a)","“makes or 
authourises”,","“makes or 
authorizes”."
"64","","373(4)(a)","“the period of one 
moth”,","“period of one 
month”."
"65","","377(6)","“the lessor’s 
convenants in the 
lease”,","“the lessor’s 
covenants in the 
lease”."
"66","","387","“shall be exempt form 
stamp duty”,","“shall be exempt 
from the stamp 
duty”.”"
"67","","389(3)","“appeal to the Court of 
Appeal”,","“appeal to the 
courts”."
"68","","396(3)","“to the Deputy 
Secretaty”,","“to the Deputy 
Secretary”."
"69","","404(5)","“shall prepare 
proposals in 
accodroance with”,","“shall prepare 
proposals in 
accordance with”."
"","","","",""
"70","","414 (Marginal 
Note)","“Consent
to be appointmented.”","“Consent to be
appointed.”"
"71","","428(2)","“shall be registrered”,","“shall be registered”;"
"","","","",""
"72","","428(3)","“sections 16 to 22 
of the Registration 
of Decuments 
Ordinance”,","“sections 16 to 22 
of the Registration 
of Documents 
Ordinance”."
"73","","431(6)","“unless the ﬂ oating 
charge was registered 
in repsect of that land”,","“unless the ﬂ oating 
charge was 
registered in respect 
of that land”."
