"","","","","",""
"18","92(1)(e)","“suchection (1)”,","","subsection (1)"".",""
"19","95(2)","“under susection (1)”,","","“under subsection 
(1)”.",""
"","","","","",""
"20","98(2)","“and the compnay”","","“and the company”;",""
"21","102(4)","“provisions of this 
secetion,”","","“provisions of this 
section,”;",""
"","","","","",""
"22","102(11)(a)","“ﬁ fty thouand rupees;”,","","“ﬁ fty thousand 
rupees;”.",""
"23","111(4)","“fails to compaly”,","","“fails to comply”.",""
"24","116(2)","“and the refereces is 
paragraph (h)”,","","“and the references 
in paragraph (h)”.",""
"25","119(1)(b)","“written 
communications to all 
sharehloders”,","","“written 
communications to 
all shareholders”.",""
"26","127","“any nawspaper 
circulating”,","","“any newspaper 
circulating”.",""
"","","","","",""
"27","129(1)","“entered on the 
shareregister”,","","“entered on the 
share register”.",""
"28","142(5)","“company’s costs on 
an applicaition”,","","“company’s cost on 
an application”.",""
"29","152(1)(c)","“sign on behlaf”,","","“signed on behalf”.",""
"30","167(1)","“annual general 
meeting report”,","","“annual report”.",""
"","","","","",""
"31","168(1)(j)","“subsidaries”,","","“subsidiaries”.",""
"32","168(2)","“in paragraphs (b) to 
(j) of subsection (1).”,","","“in paragraphs (d) 
to (j) of subsection 
(1).”.",""
