"HS","HS  Code","","Description","Unit","ICL/","Excise"
"Hdg","","","","","SLSI","Duty"
"","","","","","","(Rs)"
"22.03","","","Beer made from malt","","",""
"","22.03.00.10","---","Canned beer less than 350ml","L","","135.00"
"","22.03.00.20","---","Canned beer 350 ml or more","L","","135.00"
"","22.03.00.90","---","Other","L","","135.00"
"22.04","","","Wine of fresh grapes, including fortified","","",""
"","","","Wines ; grape must other than that of","","",""
"","","","heading 20.90","","",""
"","22.04.10.00","-","Sparkling Wine","L","","230.00"
"","","-","Other Wine ; grape must with fermentation","","",""
"","","","prevented or arrested by the addition of","","",""
"","","","alcohol","","",""
"","22.04.21.00","--","In containers holding 2L or less","L","","230.00"
"","22.04.22.00","--","In containers holding more than 2L","L","","230.00"
"","","","but not more than 10L","","",""
"","22.04.29.00","--","Other","L","","230.00"
"","22.04.30.00","-","Other grape must","","","230.00"
"22.05","","","Vermouth and other wine of fresh grapes","L","",""
"","","","flavoured with plants or aromatic","","",""
"","22.05.10.00","-","In containers holding 2L or less","L","","230.00"
"","22.05.90.00","-","Other","L","","230.00"
"22.06","22.06.00.00","","Other fermented beverages (for examples,","","",""
"","","","cider, perry, mead, sake) ; mixtures of","","",""
"","","","fermented beverages and nonalcoholic","","",""
"","","","beverages, not elsewhere specified or","","",""
"","","","included :","","",""
"","22.06.00.10","----","Nonalcoholic  beverages","L","","650.00"
"","22.06.00.90","----","Other","L","","230.00"
"22.08","","","Un denatured ethyl alcohol of an","","",""
"","","","alcoholic strength by volume of less","","",""
"","","","than 80% vol ; spirits, liquers and","","",""
"","","","other  spirituous  beverages","","",""
"","22.08.20.00","-","Spirits obtained by distilling grape wine","L","","650.00"
"","","","or grape marc","","",""
"","22.08.30.00","-","Whiskies","L","","650.00"
"","","-","Rum and other spirits obtained by","","",""
"","","","distilling fermented sugarcane product :","","",""
"","22.08.40.10","---","Rum","L","","650.00"
