"2A","III fldgi – Y%S ,xld m%cd;dka;%sl iudcjd§ ckrcfha w;s úfYI .eiÜ m;%h – 2019'12'05","",""
"","PART  III  –  GAZETTE  EXTRAORDINARY  OF  THE  DEMOCRATIC  SOCIALIST  REPUBLIC  OF  SRI  LANKA  –  05.12.2019","",""
"03. Province",": Western","07. Province",": Western"
"District",": Gampaha","District",": Gampaha"
"Divisional Secretariat",": Mahara","Divisional Secretariat",": Mahara"
"Name of the Village",": Sooriyapaluwa North","Name of the Village",": Sooriyapaluwa North"
"C. M. No.",":
510810/7/7/7","C. M. No.",":
510810/7/3/4"
"Lot No.",":
518","Lot No.",":
208"
"Name of the land",": Etambagahakumbura","Name of the land",": Dawatagahapurana"
"Extent",":
0.0062 Hectare","Extent",":
0.0003 Hectare"
"Statutory  Compensation",": Rs. 1,000.00","Statutory  Compensation",": Rs. 1,000.00"
"Name of the District Court",": Gampaha","Name of the District Court",": Gampaha"
"Case No.",":
1340/L/Acq","Case No.",":
1378/L/Acq"
"Deposit Account Name",": National Savings Bank,","Deposit Account Name",": National Savings Bank,"
"of the Bank","Gampaha.","of the Bank","Gampaha."
"04. Province",": Western","08. Province",": Western"
"District",": Gampaha","District",": Gampaha"
"Divisional Secretariat",": Mahara","Divisional Secretariat",": Mahara"
"Name of the Village",": Sooriyapaluwa North","Name of the Village",": Sooriyapaluwa North"
"C. M. No.",":
510810/7/7/7","C. M. No.",":
510810/7/3/4"
"Lot No.",":
519","Lot No.",":
211"
"Name of the land",": Etambagahakumbura","Name of the land",": Dawatagahapurana"
"Extent",":
0.0656 Hectare","Extent",":
0.0202 Hectare"
"Statutory  Compensation",": Rs. 1,000.00","Statutory  Compensation",": Rs. 1,000.00"
"Name of the District Court",": Gampaha","Name of the District Court",": Gampaha"
"Case No.",":
1359/L/Acq","Case No.",":
1096/L/Acq"
"Deposit Account Name",": National Savings Bank,","Deposit Account Name",": National Savings Bank,"
"of the Bank","Gampaha.","of the Bank","Gampaha."
"05. Province",": Western","09. Province",": Western"
"District",": Gampaha","District",": Gampaha"
"Divisional Secretariat",": Mahara","Divisional Secretariat",": Mahara"
"Name of the Village",": Sooriyapaluwa North","Name of the Village",": Sooriyapaluwa North"
"C. M. No.",":
510810/7/7/7","C. M. No.",":
510810/7/3/4"
"Lot No.",":
614","Lot No.",":
219"
"Name of the land",": Etambagahakumbura","Name of the land",": Dawatagahawatta"
"Extent",":
0.0018 Hectare","Extent",":
0.0054 Hectare"
"Statutory  Compensation",": Rs. 1,000.00","Statutory  Compensation",": Rs. 1,000.00"
"Name of the District Court",": Gampaha","Name of the District Court",": Gampaha"
"Case No.",":
1382/L/Acq","Case No.",":
1336/L/Acq"
"Deposit Account Name",": National Savings Bank,","Deposit Account Name",": National Savings Bank,"
"of the Bank","Gampaha.","of the Bank","Gampaha."
"06. Province",": Western","10. Province",": Western"
"District",": Gampaha","District",": Gampaha"
"Divisional Secretariat",": Mahara","Divisional Secretariat",": Mahara"
"Name of the Village",": Sooriyapaluwa North","Name of the Village",": Sooriyapaluwa North"
"C. M. No.",":
510810/7/6/7","C. M. No.",":
510810/7/3/4"
"Lot No.",":
350","Lot No.",":
237"
"Name of the land",": Bataaththadeniyakumbura","Name of the land",": Dawatagahapurana"
"Extent",":
0.0240 Hectare","Extent",":
0.0016 Hectare"
"Statutory  Compensation",": Rs. 1,000.00","Statutory  Compensation",": Rs. 1,000.00"
"Name of the District Court",": Gampaha","Name of the District Court",": Gampaha"
"Case No.",":
1380/L/Acq","Case No.",":
1258/L/Acq"
"Deposit Account Name",": National Savings Bank,","Deposit Account Name",": National Savings Bank,"
"of the Bank","Gampaha.","of the Bank","Gampaha."
