"","Column  I","Column  II","Column  III"
"","Section","Section  of  the  principal  enactment","Date  of"
"","of this Act","which  is  amended","operation"
"","1 2","150(1)(a),  150(1)(b),  150(1)(c)","01.04.2023"
"5","","and  150(2A)",""
"","1 5","subparagraph  (1)  of  paragraph  4,","01.10.2022"
"","","item  (d)(iii)  of  subparagraph  (1)",""
"","","of  paragraph  10  and  paragraph",""
"","","13  of  the  First  Schedule",""
"10","1 6","subparagraphs  (ii)  and  (iii)  of","01.10.2022"
"","","paragraph  (ooo)  of  the",""
"","","Third  Schedule",""
"","1 6","paragraph  (tt)  and  subparagraphs","01.04.2023"
"","","(ii),  (v)  and  (vi)  of  paragraph  (w)",""
"","","of  the  Third  Schedule",""
"15","","",""
"","1 6","paragraph  (x)  of  the","27.05.2021"
"","","Third  Schedule",""
"","1 7","–","01.10.2022"
