"64","Wiia wOHdmk wud;Hjrhd","17101","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","3""925""000","4""900""000","17""000""000","-"
"65","rdcH  l<ukdlrK  m%;sixialrK","","","","","",""
"","wud;Hjrhd","17301","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""570""000","900""000","2""500""000","-"
"66","mqkre;a:dmk  yd  nkaOkd.dr","","","","","",""
"","m%;sixialrK  wud;Hjrhd","17401","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","2""355""000","1""000""000","12""000""000","-"
"67","rdcH  i(cid:239)m;a  yd  jHjidh  ixj(cid:190)Ok","","","","","",""
"","wud;Hjrhd","17501","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","5""495""000","1""100""000","23""000""000","-"
"68","isœ,a  .=jka  fiajd  wud;Hjrhd","17601","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","4""565""000","3""300""000","20""000""000","-"
"69","ixialD;sl yd l,d lghq;=","","","","","",""
"","wud;Hjrhd","17701","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""000""000","300""000","2""000""000","-"
"70","fmd,a  ixj(cid:190)Ok  yd  ck;d  j;=","","","","","",""
"","ixj(cid:190)Ok  wud;Hjrhd","17801","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""000""000","300""000","2""000""000","-"
"71","f.dœck  fiajd  yd  jk(cid:212)ø","","","","","",""
"","wud;Hjrhd","17901","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""000""000","300""000","2""000""000","-"
"72","iq¿  wmkhk  fNda.  m%j(cid:190)Ok","","","","","",""
"","wud;Hjrhd","18001","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""000""000","300""000","2""000""000","-"
"73","M,odhs;d  m%j(cid:190)Ok  wud;Hjrhd","18101","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""000""000","300""000","2""000""000","-"
"74","œfoaY /lshd m%j(cid:190)Ok yd iqNidOk","","","","","",""
"","wud;Hjrhd","18201","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""000""000","300""000","2""000""000","-"
"75","uyck  i(cid:239)nkaO;d  yd  uyck  lghq;=","","","","","",""
"","wud;Hjrhd","18301","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","1""000""000","300""000","2""000""000","-"
